기온,노면온도,humi_,시간,경도,위도
-1.5,-3.8,53.3,2024-01-24 17:49,127.1150384,34.7741434
-1.5,-3.6,53.3,2024-01-24 17:49,127.1150384,34.7741434
-1.5,-3.6,53.3,2024-01-24 17:49,127.115203,34.7741854
-1.5,-3.9,53.3,2024-01-24 17:49,127.115203,34.7741854
-1.5,-4,53.3,2024-01-24 17:49,127.115368,34.7742208
-1.5,-3.7,53.3,2024-01-24 17:49,127.115368,34.7742208
-1.5,-3.4,53.3,2024-01-24 17:49,127.1155358,34.7742486
-1.5,-3.4,53.3,2024-01-24 17:49,127.1155358,34.7742486
-1.5,-3.4,53.3,2024-01-24 17:49,127.1157088,34.774274
-1.5,-3.7,53.3,2024-01-24 17:49,127.1157088,34.774274
-1.5,-3.4,53.3,2024-01-24 17:49,127.1158895,34.7742945
-1.5,-3.3,53.3,2024-01-24 17:49,127.1158895,34.7742945
-1.5,-3.6,53.3,2024-01-24 17:49,127.1160716,34.7743105
-1.4,-3.7,53.3,2024-01-24 17:49,127.1160716,34.7743105
-1.5,-3.7,53.3,2024-01-24 17:49,127.1162579,34.7743232
-1.4,-4.1,53.3,2024-01-24 17:49,127.1162579,34.7743232
-1.5,-3.2,53.3,2024-01-24 17:49,127.1164444,34.7743307
-1.4,-3.2,53.3,2024-01-24 17:49,127.1164444,34.7743307
-1.4,-3.3,53.3,2024-01-24 17:49,127.1166341,34.774333
-1.4,-3.5,53.3,2024-01-24 17:49,127.1166341,34.774333
-1.4,-3.6,53.3,2024-01-24 17:49,127.1168241,34.7743286
-1.4,-3.5,53.3,2024-01-24 17:49,127.1168241,34.7743286
-1.4,-3.5,53.3,2024-01-24 17:49,127.1170154,34.7743198
-1.3,-3.9,53.3,2024-01-24 17:49,127.1170154,34.7743198
-1.3,-4.2,53.4,2024-01-24 17:49,127.1172077,34.7743076
-1.3,-3.6,53.4,2024-01-24 17:49,127.1173962,34.7742916
-1.3,-3.5,53.4,2024-01-24 17:49,127.1173962,34.7742916
-1.3,-3.5,53.4,2024-01-24 17:49,127.1175828,34.7742742
-1.3,-3.6,53.4,2024-01-24 17:49,127.1175828,34.7742742
-1.2,-3.7,53.4,2024-01-24 17:49,127.1175828,34.7742742
-1.2,-4,53.4,2024-01-24 17:49,127.1177723,34.7742569
-1.2,-4,53.4,2024-01-24 17:49,127.1179649,34.7742397
-1.2,-3.9,53.4,2024-01-24 17:49,127.1179649,34.7742397
-1.2,-3.9,53.4,2024-01-24 17:49,127.1181585,34.7742237
-1.2,-3.7,53.4,2024-01-24 17:49,127.1181585,34.7742237
-1.2,-3.9,53.4,2024-01-24 17:49,127.1183478,34.7742088
-1.2,-3.9,53.4,2024-01-24 17:49,127.1183478,34.7742088
-1.1,-3.8,53.4,2024-01-24 17:49,127.1183478,34.7742088
-1.2,-6.6,53.4,2024-01-24 17:49,127.1185374,34.7741964
-1.2,-5.4,53.4,2024-01-24 17:49,127.1187287,34.774183
-1.2,-5.9,53.5,2024-01-24 17:49,127.1187287,34.774183
-1.1,-6,53.5,2024-01-24 17:49,127.1189247,34.7741685
-1.1,-6.3,53.5,2024-01-24 17:49,127.1189247,34.7741685
-1.1,-6.4,53.5,2024-01-24 17:49,127.1191233,34.7741544
-1.1,-6.5,53.5,2024-01-24 17:49,127.1191233,34.7741544
-1.1,-6.6,53.5,2024-01-24 17:49,127.1193169,34.7741391
-1.1,-6.7,53.5,2024-01-24 17:49,127.1193169,34.7741391
-1.1,-6.7,53.5,2024-01-24 17:49,127.1195118,34.7741233
-1.1,-6.5,53.6,2024-01-24 17:49,127.1195118,34.7741233
-1.1,-6.5,53.6,2024-01-24 17:49,127.1195118,34.7741233
-1.1,-6.5,53.6,2024-01-24 17:49,127.1197102,34.7741079
-1.1,-6.7,53.6,2024-01-24 17:49,127.1199056,34.774095
-1.1,-6.6,53.6,2024-01-24 17:49,127.1199056,34.774095
-1.1,-6.8,53.6,2024-01-24 17:49,127.1199056,34.774095
-1.1,-6.6,53.6,2024-01-24 17:49,127.1201006,34.774082
-1.1,-6.9,53.6,2024-01-24 17:49,127.1201006,34.774082
-1.1,-6.8,53.7,2024-01-24 17:49,127.1202915,34.7740695
-1.1,-6.5,53.7,2024-01-24 17:49,127.1202915,34.7740695
-1.1,-6.4,53.7,2024-01-24 17:49,127.1204785,34.7740593
-1.1,-6.5,53.7,2024-01-24 17:49,127.1206582,34.774049
-1.1,-6.5,53.8,2024-01-24 17:49,127.1206582,34.774049
-1.1,-6.5,53.8,2024-01-24 17:49,127.1208401,34.7740409
-1.1,-6.4,53.8,2024-01-24 17:49,127.1208401,34.7740409
-1.1,-6.5,53.8,2024-01-24 17:49,127.1210239,34.7740299
-1.1,-6.4,53.8,2024-01-24 17:49,127.1210239,34.7740299
-1.1,-6.7,53.8,2024-01-24 17:49,127.1212083,34.7740225
-1.1,-6.8,53.8,2024-01-24 17:49,127.1212083,34.7740225
-1.1,-6.9,53.8,2024-01-24 17:49,127.1213939,34.7740148
-1.1,-6.5,53.8,2024-01-24 17:49,127.1213939,34.7740148
-1.1,-6.6,53.8,2024-01-24 17:49,127.1215791,34.7740095
-1.1,-6.6,53.8,2024-01-24 17:49,127.1215791,34.7740095
-1.1,-6.7,53.8,2024-01-24 17:49,127.1217634,34.7740063
-1.1,-6.9,53.8,2024-01-24 17:49,127.1217634,34.7740063
-1.1,-6.4,53.8,2024-01-24 17:49,127.1219455,34.7740029
-1.1,-6.7,53.8,2024-01-24 17:49,127.1219455,34.7740029
-1.2,-6.6,53.8,2024-01-24 17:49,127.1221302,34.7739999
-1.2,-5.6,53.9,2024-01-24 17:49,127.1221302,34.7739999
-1.2,-5.5,53.9,2024-01-24 17:49,127.1223144,34.7740016
-1.1,-5.4,53.9,2024-01-24 17:49,127.1223144,34.7740016
-1.2,-5.4,53.9,2024-01-24 17:49,127.1225016,34.7740056
-1.2,-4.2,53.9,2024-01-24 17:49,127.1225016,34.7740056
-1.2,-3.9,53.9,2024-01-24 17:49,127.1226902,34.7740048
-1.2,-3.9,53.9,2024-01-24 17:49,127.1226902,34.7740048
-1.2,-3.8,53.9,2024-01-24 17:49,127.1228744,34.7739999
-1.2,-3.6,54,2024-01-24 17:49,127.1228744,34.7739999
-1.2,-3.8,54,2024-01-24 17:49,127.1230503,34.7739933
-1.2,-3.4,54,2024-01-24 17:49,127.1230503,34.7739933
-1.2,-3.5,54,2024-01-24 17:49,127.1232172,34.7739863
-1.2,-3.2,53.9,2024-01-24 17:49,127.1232172,34.7739863
-1.2,-3.1,53.9,2024-01-24 17:49,127.1233872,34.7739839
-1.2,-3.2,53.9,2024-01-24 17:49,127.1233872,34.7739839
-1.2,-3.2,53.9,2024-01-24 17:49,127.1235583,34.7739833
-1.2,-2.7,53.9,2024-01-24 17:49,127.1235583,34.7739833
-1.2,-2.9,53.9,2024-01-24 17:49,127.1237292,34.7739824
-1.2,-2.6,53.9,2024-01-24 17:49,127.1237292,34.7739824
-1.2,-3,53.9,2024-01-24 17:49,127.1239011,34.7739816
-1.2,-2.4,53.9,2024-01-24 17:49,127.1239011,34.7739816
-1.2,-2.7,53.9,2024-01-24 17:49,127.1240823,34.7739821
-1.2,-2.3,53.9,2024-01-24 17:49,127.1240823,34.7739821
-1.2,-2.4,53.9,2024-01-24 17:49,127.1242607,34.7739855
-1.3,-1.8,54,2024-01-24 17:49,127.1242607,34.7739855
-1.3,-1.7,54,2024-01-24 17:50,127.1244375,34.7739924
-1.2,-1.7,54,2024-01-24 17:50,127.1244375,34.7739924
-1.3,-1.7,54,2024-01-24 17:50,127.1246216,34.7739982
-1.2,-1.7,54,2024-01-24 17:50,127.1246216,34.7739982
-1.3,-1.5,54,2024-01-24 17:50,127.1248126,34.7740053
-1.3,-1.7,54,2024-01-24 17:50,127.1248126,34.7740053
-1.3,-1.3,54,2024-01-24 17:50,127.1249996,34.7740198
