기온,노면온도,습도,alti_,시간,경도,위도
-3.5,-5.6,63.7,10077,2024-01-25 7:17,127.1175003,34.7744373
-3.5,-5.6,63.6,10078,2024-01-25 7:17,127.1173116,34.7744514
-3.5,-5.8,63.7,10076,2024-01-25 7:17,127.117696,34.7744232
-3.5,-5.6,63.7,10077,2024-01-25 7:17,127.117696,34.7744232
-3.5,-5.6,63.7,10075,2024-01-25 7:17,127.1178989,34.7744073
-3.5,-5.5,63.7,10075,2024-01-25 7:17,127.117696,34.7744232
-3.5,-5.6,63.7,10074,2024-01-25 7:17,127.1181033,34.7743893
-3.5,-5.6,63.7,10074,2024-01-25 7:17,127.1178989,34.7744073
-3.5,-5.4,63.7,10073,2024-01-25 7:17,127.1183089,34.7743727
-3.5,-5.6,63.7,10074,2024-01-25 7:17,127.1181033,34.7743893
-3.5,-5.6,63.7,10071,2024-01-25 7:17,127.1185176,34.7743566
-3.5,-5.5,63.7,10071,2024-01-25 7:17,127.1183089,34.7743727
-3.5,-5.5,63.7,10069,2024-01-25 7:17,127.11873,34.774341
-3.5,-5.7,63.7,10070,2024-01-25 7:17,127.1185176,34.7743566
-3.5,-5.4,63.7,10068,2024-01-25 7:17,127.118944,34.7743252
-3.5,-5.6,63.7,10069,2024-01-25 7:17,127.11873,34.774341
-3.5,-5.8,63.7,10067,2024-01-25 7:17,127.1191567,34.7743097
-3.5,-5.9,63.7,10067,2024-01-25 7:17,127.118944,34.7743252
-3.5,-5.7,63.7,10066,2024-01-25 7:17,127.1193686,34.7742934
-3.5,-5.5,63.7,10066,2024-01-25 7:17,127.1191567,34.7743097
-3.5,-5.9,63.8,10066,2024-01-25 7:17,127.1195817,34.7742784
-3.5,-6,63.7,10065,2024-01-25 7:17,127.1193686,34.7742934
-3.4,-5.8,63.8,10065,2024-01-25 7:17,127.1197947,34.7742634
-3.5,-5.8,63.8,10065,2024-01-25 7:17,127.1195817,34.7742784
-3.5,-5.9,63.8,10065,2024-01-25 7:17,127.1200107,34.7742458
-3.5,-5.7,63.8,10065,2024-01-25 7:17,127.1197947,34.7742634
-3.5,-5.8,63.8,10066,2024-01-25 7:17,127.1202231,34.7742312
-3.4,-5.6,63.8,10065,2024-01-25 7:17,127.1200107,34.7742458
-3.4,-5.6,63.8,10066,2024-01-25 7:17,127.1204355,34.7742185
-3.5,-5.8,63.8,10066,2024-01-25 7:17,127.1202231,34.7742312
-3.5,-5.9,63.8,10066,2024-01-25 7:17,127.1206467,34.7742035
-3.5,-6.1,63.8,10066,2024-01-25 7:17,127.1204355,34.7742185
-3.5,-5.8,63.8,10067,2024-01-25 7:17,127.1208551,34.7741895
-3.5,-5.6,63.8,10067,2024-01-25 7:17,127.1206467,34.7742035
-3.4,-5.7,63.8,10068,2024-01-25 7:17,127.121064,34.7741783
-3.5,-5.6,63.8,10068,2024-01-25 7:17,127.1208551,34.7741895
-3.4,-5.5,63.8,10069,2024-01-25 7:17,127.1212677,34.7741638
-3.5,-5.7,63.8,10069,2024-01-25 7:17,127.121064,34.7741783
-3.4,-5.7,63.8,10070,2024-01-25 7:17,127.1214733,34.7741539
-3.4,-5.8,63.8,10070,2024-01-25 7:17,127.1212677,34.7741638
-3.5,-7.4,63.8,10071,2024-01-25 7:17,127.1216769,34.7741458
-3.5,-7.1,63.8,10070,2024-01-25 7:17,127.1214733,34.7741539
-3.5,-7.3,63.8,10072,2024-01-25 7:17,127.1218753,34.7741359
-3.5,-7.1,63.8,10072,2024-01-25 7:17,127.1216769,34.7741458
-3.5,-7.8,63.8,10073,2024-01-25 7:17,127.122074,34.7741318
-3.4,-6.2,63.8,10073,2024-01-25 7:17,127.1218753,34.7741359
-3.5,-6.6,63.8,10075,2024-01-25 7:17,127.1222731,34.7741312
-3.5,-6.9,63.8,10074,2024-01-25 7:17,127.122074,34.7741318
-3.5,-6.4,63.8,10078,2024-01-25 7:17,127.1224718,34.774127
-3.4,-8.3,63.8,10077,2024-01-25 7:17,127.1222731,34.7741312
-3.5,-7.9,63.8,10080,2024-01-25 7:17,127.1226691,34.7741209
-3.5,-8.6,63.8,10079,2024-01-25 7:17,127.1224718,34.774127
-3.5,-8.4,63.8,10083,2024-01-25 7:17,127.1228619,34.7741126
-3.5,-8.2,63.8,10082,2024-01-25 7:17,127.1226691,34.7741209
-3.5,-8.1,63.8,10084,2024-01-25 7:17,127.1230585,34.7741047
-3.5,-8.3,63.8,10083,2024-01-25 7:17,127.1228619,34.7741126
-3.5,-8.3,63.8,10086,2024-01-25 7:17,127.123255,34.7740989
-3.5,-8.4,63.8,10085,2024-01-25 7:17,127.1230585,34.7741047
-3.4,-8.1,63.8,10088,2024-01-25 7:17,127.1234509,34.7740912
-3.4,-8.6,63.8,10087,2024-01-25 7:17,127.123255,34.7740989
-3.4,-8.6,63.8,10089,2024-01-25 7:17,127.1236473,34.7740851
-3.4,-8.5,63.8,10089,2024-01-25 7:17,127.1234509,34.7740912
-3.4,-8.5,63.8,10090,2024-01-25 7:17,127.1238431,34.7740798
-3.4,-8.4,63.8,10090,2024-01-25 7:17,127.1236473,34.7740851
-3.4,-8.4,63.8,10092,2024-01-25 7:17,127.12404,34.774078
-3.4,-8.6,63.8,10091,2024-01-25 7:17,127.1238431,34.7740798
-3.4,-8.5,63.8,10092,2024-01-25 7:17,127.124236,34.7740819
-3.4,-8.5,63.8,10092,2024-01-25 7:17,127.12404,34.774078
-3.4,-8.6,63.8,10094,2024-01-25 7:17,127.1244295,34.7740899
-3.4,-8.5,63.8,10093,2024-01-25 7:17,127.124236,34.7740819
-3.4,-8.5,63.8,10095,2024-01-25 7:17,127.1246209,34.7741018
-3.4,-8.4,63.8,10094,2024-01-25 7:17,127.1244295,34.7740899
-3.4,-8.4,63.8,10094,2024-01-25 7:17,127.124814,34.7741209
-3.4,-8.3,63.8,10095,2024-01-25 7:17,127.1246209,34.7741018
-3.4,-8.3,63.8,10095,2024-01-25 7:17,127.125007,34.7741432
-3.4,-8.2,63.8,10094,2024-01-25 7:17,127.124814,34.7741209
-3.4,-7.2,63.6,10098,2024-01-25 7:17,127.1252003,34.7741737
-3.4,-6.9,63.8,10096,2024-01-25 7:17,127.125007,34.7741432
-3.4,-7.1,63.6,10100,2024-01-25 7:17,127.1253876,34.7742056
-3.4,-7.1,63.6,10099,2024-01-25 7:17,127.1252003,34.7741737
-3.4,-7.1,63.8,10102,2024-01-25 7:17,127.1255739,34.774246
-3.4,-7.1,63.6,10101,2024-01-25 7:17,127.1253876,34.7742056
-3.4,-7.1,63.8,10104,2024-01-25 7:17,127.1257619,34.7742932
-3.4,-7,63.8,10103,2024-01-25 7:17,127.1255739,34.774246
-3.4,-5.6,63.6,10106,2024-01-25 7:17,127.1259489,34.7743469
-3.4,-5.8,63.8,10105,2024-01-25 7:17,127.1257619,34.7742932
-3.4,-5.7,63.6,10108,2024-01-25 7:17,127.1261316,34.7744036
-3.4,-5.6,63.6,10107,2024-01-25 7:17,127.1259489,34.7743469
-3.4,-5.6,63.8,10110,2024-01-25 7:17,127.1263099,34.7744678
-3.4,-5.2,63.6,10109,2024-01-25 7:17,127.1261316,34.7744036
-3.4,-5.4,63.8,10112,2024-01-25 7:17,127.1264852,34.7745358
-3.4,-5.2,63.8,10112,2024-01-25 7:17,127.1263099,34.7744678
-3.4,-5.2,63.7,10114,2024-01-25 7:17,127.1266558,34.7746078
-3.5,-5.1,63.8,10113,2024-01-25 7:17,127.1264852,34.7745358
-3.5,-5.3,63.7,10116,2024-01-25 7:17,127.126823,34.7746819
-3.4,-5.2,63.7,10118,2024-01-25 7:17,127.1269862,34.7747625
-3.4,-5.3,63.7,10117,2024-01-25 7:17,127.126823,34.7746819
-3.5,-5.2,63.7,10119,2024-01-25 7:17,127.1271458,34.7748495
-3.5,-5.2,63.7,10118,2024-01-25 7:17,127.1269862,34.7747625
-3.5,-5.3,63.8,10120,2024-01-25 7:17,127.1273035,34.7749401
-3.5,-5.4,63.7,10119,2024-01-25 7:17,127.1271458,34.7748495
-3.5,-5.3,63.8,10120,2024-01-25 7:16,127.127454,34.7750354
-3.5,-5.4,63.8,10120,2024-01-25 7:16,127.1273035,34.7749401
-3.5,-5.3,63.8,10121,2024-01-25 7:16,127.1275985,34.7751369
-3.5,-5.5,63.8,10120,2024-01-25 7:16,127.127454,34.7750354
-3.5,-5.5,63.8,10122,2024-01-25 7:16,127.1277379,34.7752405
-3.5,-5.4,63.8,10122,2024-01-25 7:16,127.1275985,34.7751369
-3.5,-5.5,63.9,10123,2024-01-25 7:16,127.1278823,34.7753477
-3.5,-5.4,63.8,10123,2024-01-25 7:16,127.1277379,34.7752405
-3.5,-5.6,63.9,10125,2024-01-25 7:16,127.1280212,34.7754575
-3.5,-5.5,63.8,10126,2024-01-25 7:16,127.1281534,34.7755722
-3.5,-5.6,63.9,10125,2024-01-25 7:16,127.1280212,34.7754575
-3.5,-5.4,63.8,10127,2024-01-25 7:16,127.1282816,34.7756864
-3.5,-5.5,63.8,10127,2024-01-25 7:16,127.1281534,34.7755722
-3.4,-5.5,63.8,10128,2024-01-25 7:16,127.1284096,34.7758037
-3.4,-5.6,63.8,10128,2024-01-25 7:16,127.1282816,34.7756864
-3.5,-5.8,63.8,10129,2024-01-25 7:16,127.1285393,34.7759178
-3.5,-5.7,63.8,10129,2024-01-25 7:16,127.1286658,34.7760364
-3.4,-5.7,63.8,10129,2024-01-25 7:16,127.1285393,34.7759178
-3.5,-5.8,63.8,10130,2024-01-25 7:16,127.1287927,34.7761553
-3.5,-5.7,63.8,10130,2024-01-25 7:16,127.1286658,34.7760364
-3.4,-5.5,63.9,10132,2024-01-25 7:16,127.1289172,34.7762754
-3.5,-5.4,63.9,10133,2024-01-25 7:16,127.1290431,34.7763992
-3.4,-5.3,63.9,10133,2024-01-25 7:16,127.1290431,34.7763992
-3.5,-5.5,63.9,10135,2024-01-25 7:16,127.1292923,34.7766477
-3.5,-5.5,63.9,10134,2024-01-25 7:16,127.1291679,34.776522
-3.4,-5.5,63.9,10135,2024-01-25 7:16,127.1292923,34.7766477
-3.5,-5.6,63.9,10136,2024-01-25 7:16,127.1294201,34.7767722
-3.5,-5.7,63.9,10135,2024-01-25 7:16,127.1294201,34.7767722
-3.5,-5.8,63.9,10137,2024-01-25 7:16,127.1296777,34.7770137
-3.5,-5.7,63.9,10137,2024-01-25 7:16,127.12955,34.7768932
-3.5,-5.5,63.9,10136,2024-01-25 7:16,127.12955,34.7768932
-3.5,-5.3,63.9,10137,2024-01-25 7:16,127.1296777,34.7770137
-3.5,-5.3,63.9,10137,2024-01-25 7:16,127.1298036,34.777138
-3.5,-5.3,63.9,10139,2024-01-25 7:16,127.1299331,34.7772613
-3.5,-5.2,63.9,10139,2024-01-25 7:16,127.1299331,34.7772613
-3.5,-5.2,63.9,10141,2024-01-25 7:16,127.1300604,34.777384
-3.5,-5.1,63.9,10140,2024-01-25 7:16,127.1300604,34.777384
-3.5,-5.1,63.9,10142,2024-01-25 7:16,127.1301901,34.7775039
-3.5,-5.2,63.9,10142,2024-01-25 7:16,127.1301901,34.7775039
-3.5,-5.2,63.9,10144,2024-01-25 7:16,127.1303189,34.7776268
-3.5,-5.3,63.9,10144,2024-01-25 7:16,127.1303189,34.7776268
-3.5,-5.2,64,10146,2024-01-25 7:16,127.130447,34.7777495
-3.5,-5.2,64,10145,2024-01-25 7:16,127.130447,34.7777495
-3.5,-5.5,64,10147,2024-01-25 7:16,127.1305793,34.7778706
