기온,노면온도,습도,alti_,시간,경도,위도
3.4,0.6,57.6,10010,2024-01-10 17:47,127.1103231,34.7704361
3.4,1.1,57.6,10010,2024-01-10 17:47,127.1103231,34.7704361
3.4,1.1,57.6,10010,2024-01-10 17:47,127.1103345,34.7705539
3.4,2.1,57.6,10010,2024-01-10 17:47,127.1103345,34.7705539
3.4,2.2,57.6,10010,2024-01-10 17:47,127.1103696,34.7706673
3.4,2.9,57.6,10011,2024-01-10 17:47,127.1103696,34.7706673
3.3,2.8,57.6,10011,2024-01-10 17:47,127.1104321,34.7707777
3.4,2.5,57.6,10012,2024-01-10 17:47,127.1104321,34.7707777
3.4,2.6,57.6,10012,2024-01-10 17:47,127.1105118,34.7708709
3.3,2.9,57.6,10013,2024-01-10 17:47,127.1105118,34.7708709
3.3,2.3,57.6,10014,2024-01-10 17:47,127.1105979,34.770956
3.3,2.6,57.6,10014,2024-01-10 17:47,127.1105979,34.770956
3.3,2.7,57.6,10014,2024-01-10 17:47,127.1106883,34.7710392
3.3,2.9,57.6,10014,2024-01-10 17:47,127.1106883,34.7710392
3.3,2.7,57.6,10013,2024-01-10 17:47,127.1107857,34.7711283
3.3,2.4,57.6,10013,2024-01-10 17:47,127.1107857,34.7711283
3.3,1.9,57.6,10013,2024-01-10 17:47,127.1108833,34.7712253
3.3,2.3,57.6,10012,2024-01-10 17:47,127.1108833,34.7712253
3.3,2.3,57.6,10013,2024-01-10 17:47,127.1109778,34.7713233
3.3,2.3,57.7,10013,2024-01-10 17:47,127.1109778,34.7713233
3.3,2.1,57.7,10012,2024-01-10 17:47,127.1110762,34.771423
3.3,2,57.7,10011,2024-01-10 17:47,127.1110762,34.771423
3.3,1.9,57.7,10010,2024-01-10 17:47,127.111181,34.7715268
3.3,1.4,57.6,10010,2024-01-10 17:47,127.111181,34.7715268
3.3,1.6,57.6,10009,2024-01-10 17:47,127.111293,34.771635
3.3,2.1,57.6,10008,2024-01-10 17:47,127.111293,34.771635
3.3,1.8,57.6,10009,2024-01-10 17:47,127.111406,34.7717446
3.3,0.6,57.6,10008,2024-01-10 17:47,127.111406,34.7717446
3.3,0.7,57.6,10008,2024-01-10 17:47,127.111521,34.7718551
3.3,1.4,57.6,10007,2024-01-10 17:47,127.111521,34.7718551
3.3,1.9,57.6,10007,2024-01-10 17:47,127.1116377,34.7719699
3.3,2.2,57.6,10007,2024-01-10 17:47,127.1116377,34.7719699
