기온,노면온도,습도,기압,시간,경도,위도
-2,-5.8,70.6,10122,2024-01-11 7:56,127.2631143,34.825649
-2,-5.8,70.6,10123,2024-01-11 7:56,127.2631143,34.825649
-2,-6.1,70.6,10121,2024-01-11 7:56,127.2631918,34.8258224
-2,-5.8,70.6,10122,2024-01-11 7:56,127.2631918,34.8258224
-2,-6.2,70.6,10119,2024-01-11 7:56,127.2632839,34.8259845
-2,-5.9,70.6,10120,2024-01-11 7:56,127.2632839,34.8259845
-2,-6.3,70.6,10117,2024-01-11 7:56,127.2633878,34.8261484
-2,-6.2,70.6,10118,2024-01-11 7:56,127.2633878,34.8261484
-2,-6.3,70.6,10115,2024-01-11 7:56,127.2634966,34.8263117
-2,-6.3,70.6,10116,2024-01-11 7:56,127.2634966,34.8263117
-2,-6.3,70.6,10112,2024-01-11 7:56,127.2636157,34.8264704
-2,-6.3,70.6,10114,2024-01-11 7:56,127.2636157,34.8264704
-2,-6.3,70.6,10110,2024-01-11 7:56,127.2637366,34.8266283
-2,-6.2,70.6,10111,2024-01-11 7:56,127.2637366,34.8266283
-2,-6.5,70.5,10108,2024-01-11 7:56,127.2638628,34.8267827
-2,-6.4,70.5,10109,2024-01-11 7:56,127.2638628,34.8267827
-2,-6.4,70.5,10106,2024-01-11 7:56,127.2639905,34.8269407
-2,-6.3,70.5,10107,2024-01-11 7:56,127.2639905,34.8269407
-2,-6.2,70.5,10103,2024-01-11 7:56,127.264123,34.8271026
-2,-6.3,70.5,10104,2024-01-11 7:56,127.264123,34.8271026
-2,-6.1,70.5,10101,2024-01-11 7:56,127.2642578,34.8272672
-2,-6.6,70.5,10102,2024-01-11 7:56,127.2642578,34.8272672
-2.1,-5.9,70.4,10098,2024-01-11 7:56,127.2643975,34.8274357
-2,-5.9,70.4,10099,2024-01-11 7:56,127.2643975,34.8274357
-2.1,-5.9,70.4,10094,2024-01-11 7:56,127.2645376,34.8276064
-2,-5.9,70.4,10096,2024-01-11 7:56,127.2645376,34.8276064
-2.1,-6,70.4,10092,2024-01-11 7:56,127.2646821,34.8277799
-2.1,-6,70.4,10093,2024-01-11 7:56,127.2646821,34.8277799
-2.1,-5.9,70.4,10089,2024-01-11 7:56,127.2648287,34.8279563
