기온,노면온도,습도,기압,시간,경도,위도
1.0,-2.7,69.6,1022.6,2024-02-07 06:20:47,126.8139894,35.2062529
1.1,-2.6,69.6,1022.6,2024-02-07 06:20:48,126.8139655,35.206219
1.1,-2.5,69.6,1022.6,2024-02-07 06:20:48,126.8139655,35.206219
1.0,-2.5,69.6,1022.5,2024-02-07 06:20:49,126.8139323,35.2061778
1.1,-2.5,69.6,1022.5,2024-02-07 06:20:49,126.8139323,35.2061778
1.1,-2.6,69.6,1022.5,2024-02-07 06:20:50,126.8139323,35.2061778
1.1,-2.6,69.6,1022.4,2024-02-07 06:20:50,126.8138948,35.2061305
1.1,-2.6,69.6,1022.4,2024-02-07 06:20:51,126.8138517,35.2060791
1.1,-2.4,69.6,1022.3,2024-02-07 06:20:51,126.8138517,35.2060791
1.1,-2.6,69.6,1022.2,2024-02-07 06:20:52,126.8138046,35.2060229
1.1,-2.5,69.6,1022.2,2024-02-07 06:20:52,126.8138046,35.2060229
1.1,-2.5,69.7,1022.2,2024-02-07 06:20:53,126.8137496,35.2059583
1.1,-2.6,69.7,1022.2,2024-02-07 06:20:53,126.8137496,35.2059583
1.1,-2.7,69.7,1022.1,2024-02-07 06:20:54,126.813694,35.2058908
1.1,-2.6,69.7,1022.1,2024-02-07 06:20:54,126.813694,35.2058908
1.1,-3.0,69.7,1022.1,2024-02-07 06:20:55,126.8136362,35.2058186
1.1,-3.3,69.7,1022.1,2024-02-07 06:20:55,126.8136362,35.2058186
1.1,-3.4,69.7,1022.0,2024-02-07 06:20:56,126.8135791,35.2057482
1.1,-3.5,69.7,1022.0,2024-02-07 06:20:56,126.8135791,35.2057482
1.1,-3.4,69.6,1022.0,2024-02-07 06:20:57,126.8135178,35.2056779
1.1,-3.3,69.6,1021.9,2024-02-07 06:20:57,126.8135178,35.2056779
1.1,-3.4,69.6,1021.9,2024-02-07 06:20:58,126.8135178,35.2056779
1.1,-3.4,69.6,1021.9,2024-02-07 06:20:58,126.8134529,35.205602
1.1,-3.4,69.7,1021.8,2024-02-07 06:20:59,126.8133863,35.2055223
1.1,-3.4,69.7,1021.8,2024-02-07 06:20:59,126.8133863,35.2055223
1.1,-3.3,69.7,1021.8,2024-02-07 06:21:00,126.8133132,35.2054397
1.1,-3.4,69.7,1021.8,2024-02-07 06:21:00,126.8133132,35.2054397
1.1,-3.4,69.6,1021.7,2024-02-07 06:21:01,126.8132384,35.2053533
1.1,-3.5,69.6,1021.7,2024-02-07 06:21:01,126.8132384,35.2053533
1.1,-3.2,69.6,1021.7,2024-02-07 06:21:02,126.8131589,35.2052657
1.1,-3.4,69.6,1021.7,2024-02-07 06:21:02,126.8131589,35.2052657
1.1,-3.0,69.6,1021.7,2024-02-07 06:21:03,126.8130778,35.205179
1.1,-2.7,69.6,1021.6,2024-02-07 06:21:03,126.8130778,35.205179
1.1,-2.7,69.6,1021.6,2024-02-07 06:21:04,126.812993,35.2050881
1.1,-2.7,69.6,1021.6,2024-02-07 06:21:04,126.812993,35.2050881
1.1,-2.8,69.6,1021.6,2024-02-07 06:21:05,126.8129066,35.2049904
1.1,-2.8,69.6,1021.6,2024-02-07 06:21:05,126.8129066,35.2049904
1.1,-2.7,69.6,1021.5,2024-02-07 06:21:06,126.8128204,35.2048909
1.1,-2.7,69.6,1021.5,2024-02-07 06:21:06,126.8128204,35.2048909
1.1,-2.7,69.6,1021.5,2024-02-07 06:21:07,126.8127319,35.2047894
1.1,-2.6,69.6,1021.5,2024-02-07 06:21:08,126.8126411,35.204686
1.1,-2.7,69.6,1021.5,2024-02-07 06:21:08,126.8126411,35.204686
1.1,-2.7,69.6,1021.5,2024-02-07 06:21:09,126.8125517,35.2045825
1.1,-2.7,69.6,1021.4,2024-02-07 06:21:09,126.8125517,35.2045825
1.1,-2.5,69.6,1021.4,2024-02-07 06:21:10,126.8124599,35.20448
1.1,-2.8,69.6,1021.4,2024-02-07 06:21:10,126.8124599,35.20448
1.1,-2.9,69.5,1021.5,2024-02-07 06:21:11,126.8123648,35.2043754
1.1,-2.9,69.5,1021.5,2024-02-07 06:21:11,126.8123648,35.2043754
1.1,-3.1,69.5,1021.5,2024-02-07 06:21:12,126.8122704,35.2042702
