기온,노면온도,습도,기압,시간,경도,위도
1.4,-2.5,69.6,1021.0,2024-02-07 06:22:13,126.8107124,35.2025028
1.4,-2.5,69.6,1021.0,2024-02-07 06:22:13,126.8107124,35.2025028
1.4,-2.3,69.6,1021.0,2024-02-07 06:22:14,126.8106686,35.2024576
1.4,-2.6,69.6,1020.9,2024-02-07 06:22:14,126.8106686,35.2024576
1.4,-2.6,69.6,1020.9,2024-02-07 06:22:15,126.8106264,35.2024051
1.4,-2.5,69.6,1020.9,2024-02-07 06:22:16,126.8106264,35.2024051
1.5,-2.7,69.6,1020.9,2024-02-07 06:22:16,126.8105877,35.202345
1.5,-2.8,69.6,1020.9,2024-02-07 06:22:17,126.8105877,35.202345
1.5,-2.8,69.6,1020.8,2024-02-07 06:22:17,126.8105427,35.2022844
1.5,-2.8,69.6,1020.8,2024-02-07 06:22:17,126.8105427,35.2022844
1.4,-3.1,69.6,1020.7,2024-02-07 06:22:18,126.810495,35.2022207
1.5,-3.1,69.6,1020.7,2024-02-07 06:22:18,126.810495,35.2022207
1.5,-2.9,69.7,1020.6,2024-02-07 06:22:19,126.8104477,35.2021522
1.5,-2.7,69.7,1020.6,2024-02-07 06:22:19,126.8104477,35.2021522
1.5,-2.6,69.7,1020.6,2024-02-07 06:22:20,126.8104111,35.2020773
1.5,-2.5,69.7,1020.5,2024-02-07 06:22:20,126.8104111,35.2020773
1.5,-2.6,69.6,1020.5,2024-02-07 06:22:21,126.8103776,35.2019984
1.5,-2.7,69.6,1020.4,2024-02-07 06:22:21,126.8103776,35.2019984
1.5,-2.7,69.6,1020.4,2024-02-07 06:22:22,126.8103424,35.2019181
1.5,-3.0,69.6,1020.4,2024-02-07 06:22:22,126.8103424,35.2019181
1.5,-2.8,69.7,1020.3,2024-02-07 06:22:23,126.8103063,35.2018334
1.5,-2.8,69.7,1020.3,2024-02-07 06:22:23,126.8103063,35.2018334
1.5,-2.7,69.7,1020.3,2024-02-07 06:22:24,126.8102749,35.2017452
1.5,-2.5,69.7,1020.2,2024-02-07 06:22:24,126.8102749,35.2017452
1.5,-2.5,69.6,1020.2,2024-02-07 06:22:25,126.8102406,35.2016529
1.5,-2.4,69.6,1020.2,2024-02-07 06:22:25,126.8102406,35.2016529
1.5,-2.7,69.6,1020.1,2024-02-07 06:22:26,126.810208,35.2015561
1.5,-2.5,69.6,1020.1,2024-02-07 06:22:26,126.810208,35.2015561
1.5,-2.4,69.6,1020.1,2024-02-07 06:22:27,126.8101743,35.2014551
1.5,-2.6,69.6,1020.0,2024-02-07 06:22:27,126.8101743,35.2014551
1.5,-2.7,69.6,1020.0,2024-02-07 06:22:28,126.8101365,35.2013491
1.4,-2.5,69.6,1020.0,2024-02-07 06:22:29,126.8101365,35.2013491
1.5,-2.4,69.7,1019.9,2024-02-07 06:22:29,126.8100977,35.2012377
1.4,-2.5,69.7,1019.9,2024-02-07 06:22:30,126.8100977,35.2012377
1.5,-2.6,69.7,1019.8,2024-02-07 06:22:30,126.8100598,35.2011277
1.4,-2.7,69.7,1019.8,2024-02-07 06:22:31,126.8100598,35.2011277
1.4,-2.8,69.6,1019.8,2024-02-07 06:22:31,126.8100246,35.2010161
1.4,-2.9,69.6,1019.8,2024-02-07 06:22:32,126.8100246,35.2010161
1.4,-2.8,69.6,1019.7,2024-02-07 06:22:32,126.809995,35.2008984
1.4,-2.8,69.6,1019.7,2024-02-07 06:22:33,126.809995,35.2008984
1.4,-2.7,69.6,1019.7,2024-02-07 06:22:33,126.8099707,35.2007775
1.4,-2.7,69.6,1019.8,2024-02-07 06:22:34,126.8099559,35.2006551
1.4,-2.8,69.6,1019.8,2024-02-07 06:22:34,126.8099559,35.2006551
1.4,-2.7,69.6,1019.8,2024-02-07 06:22:35,126.8099559,35.2006551
1.4,-2.7,69.5,1019.8,2024-02-07 06:22:35,126.8099434,35.200522
1.4,-2.6,69.5,1019.8,2024-02-07 06:22:36,126.8099434,35.200522
1.4,-2.7,69.5,1019.8,2024-02-07 06:22:36,126.8099363,35.2003892
1.3,-2.8,69.5,1019.8,2024-02-07 06:22:37,126.8099363,35.2003892
1.4,-2.8,69.5,1019.8,2024-02-07 06:22:37,126.8099327,35.2002557
1.3,-2.8,69.5,1019.7,2024-02-07 06:22:38,126.8099327,35.2002557
1.3,-2.8,69.5,1019.7,2024-02-07 06:22:38,126.8099296,35.2001213
1.3,-2.7,69.5,1019.7,2024-02-07 06:22:39,126.8099296,35.2001213
1.4,-2.9,69.5,1019.7,2024-02-07 06:22:39,126.8099238,35.1999843
1.3,-2.8,69.5,1019.7,2024-02-07 06:22:40,126.8099238,35.1999843
1.3,-2.8,69.5,1019.7,2024-02-07 06:22:40,126.8099236,35.1998479
