기온,노면온도,습도,기압,시간,경도,위도
0.7,-2.7,70.5,1021.1,2024-02-07 06:33:26,126.7985942,35.1521876
0.7,-2.8,70.5,1021.1,2024-02-07 06:33:26,126.7985942,35.1521876
0.7,-3.1,70.5,1021.2,2024-02-07 06:33:27,126.7985828,35.1521182
0.7,-2.7,70.5,1021.3,2024-02-07 06:33:27,126.7985828,35.1521182
0.7,-2.7,70.5,1021.3,2024-02-07 06:33:28,126.7985885,35.1520598
0.7,-2.6,70.5,1021.4,2024-02-07 06:33:28,126.7985885,35.1520598
0.7,-2.6,70.5,1021.4,2024-02-07 06:33:29,126.7986109,35.1520116
0.7,-2.6,70.4,1021.4,2024-02-07 06:33:29,126.7986109,35.1520116
0.7,-2.5,70.4,1021.5,2024-02-07 06:33:30,126.7986487,35.1519691
0.7,-2.6,70.4,1021.5,2024-02-07 06:33:30,126.7986487,35.1519691
0.6,-2.9,70.4,1021.5,2024-02-07 06:33:31,126.7987009,35.1519349
0.7,-2.8,70.4,1021.5,2024-02-07 06:33:31,126.7987009,35.1519349
0.7,-2.7,70.4,1021.5,2024-02-07 06:33:32,126.7987654,35.1519156
0.7,-2.7,70.4,1021.5,2024-02-07 06:33:32,126.7987654,35.1519156
0.6,-2.6,70.4,1021.5,2024-02-07 06:33:33,126.798842,35.1519054
0.7,-2.6,70.4,1021.5,2024-02-07 06:33:33,126.798842,35.1519054
0.7,-2.5,70.4,1021.5,2024-02-07 06:33:34,126.7989137,35.1519004
0.7,-2.3,70.4,1021.6,2024-02-07 06:33:34,126.7989137,35.1519004
0.7,-2.9,70.4,1021.6,2024-02-07 06:33:35,126.798978,35.1518973
0.7,-3.0,70.4,1021.6,2024-02-07 06:33:35,126.798978,35.1518973
0.7,-2.7,70.4,1021.6,2024-02-07 06:33:36,126.7990351,35.1518916
0.7,-2.8,70.4,1021.6,2024-02-07 06:33:36,126.7990351,35.1518916
0.7,-2.8,70.4,1021.6,2024-02-07 06:33:37,126.7990952,35.1518819
0.7,-2.9,70.4,1021.6,2024-02-07 06:33:37,126.7990952,35.1518819
0.7,-3.0,70.4,1021.6,2024-02-07 06:33:38,126.7991584,35.1518695
0.7,-2.9,70.4,1021.6,2024-02-07 06:33:38,126.7991584,35.1518695
