기온(1차),기온(2차),노면온도(1차),노면온도(2차)
-1,0.4,-3.4,-2.2
-1,0.4,-3.4,-2.3
-1,0.4,-3.7,-1.6
-1,0.4,-4,-2.4
-1,0.4,-3.2,-2.6
-1,0.4,-3.2,-2.7
-1,0.4,-3.3,-2.9
-1,0.4,-3.3,-2.8
-1,0.4,-3.3,-2.7
-1,0.4,-3.4,-2.9
-1,0.4,-3.3,-2.9
-1,0.4,-3.4,-2.9
-1,0.4,-4,-2.9
-1,0.4,-4,-2.8
-1,0.4,-4.1,-2.8
-1,0.4,-4.1,-2.8
-1,0.4,-4,-2.9
-1,0.4,-4,-2.7
-1,0.4,-4,-2.7
-1,0.4,-4.1,-2.8
-1,0.4,-4,-2.6
-1,0.4,-3.9,-3
-1,0.4,-3.8,-2.9
-1,0.4,-3.8,-3.1
-1,0.4,-4,-3
-1,0.4,-3.8,-3.1
-0.9,0.4,-3.9,-3
-1,0.4,-4,-3.1
-1,0.4,-3.8,-3.4
-0.9,0.4,-4,-3.5
-0.9,0.4,-4,-3.5
-1,0.4,-4.2,-3.4
-0.9,0.5,-4,-3.3
-1,0.4,-4.1,-3.3
-0.9,0.4,-4,-3.3
-0.9,0.4,-4.1,-3.3
-0.9,0.4,-4.2,-3.4
-0.9,0.4,-4.1,-3.4
-0.9,0.4,-4,-3.4
-0.9,0.4,-3.9,-3.4
-1,0.5,-3.9,-3.5
-1,0.5,-4.1,-3.5
-0.9,0.5,-4,-3.5
-0.9,0.5,-3.9,-3.5
-0.9,0.5,-3.9,-4
-0.9,0.5,-4,-3.3
-0.9,0.5,-3.9,-3
-1,0.5,-4,-3
-0.9,0.5,-4.1,-3.1
-1,0.5,-4.1,-3.1
-0.9,0.5,-4,-3
-0.9,0.5,-4,-3.2
-0.9,0.5,-4,-3
-0.9,0.5,-4,-3.1
-1,0.5,-4,-3
-1,0.5,-4.2,-3.5
-0.9,0.5,-4.1,-3
-0.9,0.5,-4,-3
-0.9,0.5,-4,-3.2
-1,0.5,-4.1,-3.2
-0.9,0.5,-4.2,-3.1
-1,0.5,-4,-3
-1,0.5,-4,-3.2
-0.9,0.5,-4.1,-3.1
-0.9,0.5,-4.3,-3.2
-0.9,0.5,-4.3,-3.1
-0.9,0.5,-4,-2.9
-1,0.5,-4.1,-3.1
-1,0.5,-4.5,-3
-1,0.5,-4,-3.1
-1,0.5,-4.1,-3.3
-1,0.5,-4.2,-3.2
-0.9,0.5,-4.2,-3.5
-1,0.5,-4.2,-3.3
-1,0.5,-4.4,-3.3
-1,0.5,-4.1,-3.3
