기온,노면온도,습도,기압,시간,경도,위도
4.9,0.8,75.1,10267,2024-02-27 06:32:25,126.8628423,35.1623666
4.9,0.9,75.1,10267,2024-02-27 06:32:26,126.8628423,35.1623666
4.9,0.9,75.1,10266,2024-02-27 06:32:26,126.8627499,35.1623642
4.9,1.1,75.1,10266,2024-02-27 06:32:27,126.8627499,35.1623642
4.9,1.1,75.1,10266,2024-02-27 06:32:27,126.8626396,35.1623673
4.9,1.1,75.1,10266,2024-02-27 06:32:28,126.8626396,35.1623673
4.9,0.9,75.1,10265,2024-02-27 06:32:28,126.8625195,35.1623683
4.8,0.9,75.2,10265,2024-02-27 06:32:29,126.8625195,35.1623683
4.9,1.0,75.2,10265,2024-02-27 06:32:29,126.8624013,35.1623714
4.9,1.2,75.2,10265,2024-02-27 06:32:30,126.8624013,35.1623714
4.9,1.3,75.2,10264,2024-02-27 06:32:30,126.8622727,35.1623721
4.9,1.2,75.2,10264,2024-02-27 06:32:31,126.8622727,35.1623721
4.9,1.1,75.2,10264,2024-02-27 06:32:31,126.8621424,35.162373
4.8,1.1,75.2,10264,2024-02-27 06:32:32,126.8621424,35.162373
4.9,1.2,75.2,10263,2024-02-27 06:32:32,126.8619983,35.1623748
4.8,1.0,75.3,10263,2024-02-27 06:32:33,126.8619983,35.1623748
4.9,1.0,75.3,10263,2024-02-27 06:32:33,126.8618496,35.1623754
4.9,1.0,75.3,10263,2024-02-27 06:32:34,126.8618496,35.1623754
4.9,1.0,75.3,10262,2024-02-27 06:32:34,126.8616978,35.1623764
4.9,1.0,75.3,10262,2024-02-27 06:32:35,126.8616978,35.1623764
4.9,1.1,75.3,10262,2024-02-27 06:32:35,126.8615395,35.1623806
4.9,1.1,75.3,10262,2024-02-27 06:32:36,126.8615395,35.1623806
4.9,1.1,75.3,10262,2024-02-27 06:32:36,126.8613779,35.1623861
4.8,1.0,75.3,10261,2024-02-27 06:32:37,126.8613779,35.1623861
4.9,0.9,75.3,10261,2024-02-27 06:32:37,126.8612056,35.1623905
4.8,1.0,75.3,10260,2024-02-27 06:32:38,126.8612056,35.1623905
4.8,1.1,75.3,10260,2024-02-27 06:32:38,126.8610334,35.1623978
4.9,0.9,75.3,10259,2024-02-27 06:32:39,126.8610334,35.1623978
4.9,1.0,75.3,10259,2024-02-27 06:32:39,126.8608585,35.1624088
4.9,1.0,75.3,10258,2024-02-27 06:32:40,126.8608585,35.1624088
4.9,0.9,75.3,10258,2024-02-27 06:32:40,126.8606823,35.1624164
4.9,0.8,75.4,10257,2024-02-27 06:32:41,126.8605028,35.1624263
4.9,0.8,75.4,10257,2024-02-27 06:32:41,126.8605028,35.1624263
4.9,0.7,75.4,10257,2024-02-27 06:32:42,126.8605028,35.1624263
4.9,0.8,75.4,10256,2024-02-27 06:32:42,126.8603215,35.1624318
4.8,0.8,75.5,10256,2024-02-27 06:32:43,126.8603215,35.1624318
4.8,0.8,75.5,10256,2024-02-27 06:32:43,126.8601455,35.1624393
4.8,1.4,75.5,10256,2024-02-27 06:32:44,126.8601455,35.1624393
4.8,1.2,75.5,10256,2024-02-27 06:32:44,126.8599635,35.1624472
4.8,0.6,75.5,10256,2024-02-27 06:32:45,126.8599635,35.1624472
4.8,0.6,75.5,10256,2024-02-27 06:32:45,126.8597793,35.1624556
