기온,노면온도,습도,기압,시간,경도,위도
2.3,-2.2,91.4,10257,2024-02-26 06:38:11,126.8550678,35.160581
2.3,-2.2,91.4,10256,2024-02-26 06:38:12,126.8550678,35.160581
2.3,-2.4,91.4,10256,2024-02-26 06:38:12,126.8549652,35.1605844
2.2,-2.1,91.4,10256,2024-02-26 06:38:13,126.8549652,35.1605844
2.2,-2.3,91.4,10256,2024-02-26 06:38:13,126.8548602,35.1605918
2.2,-2.4,91.4,10256,2024-02-26 06:38:14,126.8548602,35.1605918
2.3,-2.5,91.4,10255,2024-02-26 06:38:14,126.8547551,35.1606023
2.2,-2.6,91.4,10255,2024-02-26 06:38:15,126.8547551,35.1606023
2.2,-2.5,91.4,10255,2024-02-26 06:38:15,126.8546478,35.1606135
2.2,-2.5,91.4,10255,2024-02-26 06:38:16,126.8546478,35.1606135
2.2,-2.6,91.4,10254,2024-02-26 06:38:16,126.8545306,35.1606204
2.2,-2.7,91.4,10254,2024-02-26 06:38:17,126.8545306,35.1606204
2.2,-2.7,91.4,10254,2024-02-26 06:38:18,126.8544119,35.1606286
2.2,-2.6,91.4,10254,2024-02-26 06:38:18,126.8544119,35.1606286
2.2,-2.6,91.4,10253,2024-02-26 06:38:18,126.854288,35.16064
2.2,-2.7,91.3,10253,2024-02-26 06:38:19,126.854288,35.16064
2.2,-2.7,91.3,10253,2024-02-26 06:38:19,126.8541671,35.1606515
2.2,-2.6,91.3,10253,2024-02-26 06:38:20,126.8541671,35.1606515
2.2,-2.6,91.3,10253,2024-02-26 06:38:20,126.854046,35.1606619
2.2,-2.7,91.3,10253,2024-02-26 06:38:21,126.854046,35.1606619
2.2,-2.7,91.3,10252,2024-02-26 06:38:22,126.853922,35.1606709
2.1,-2.6,91.3,10252,2024-02-26 06:38:22,126.853922,35.1606709
2.2,-2.6,91.3,10252,2024-02-26 06:38:22,126.8537975,35.1606816
2.1,-2.6,91.3,10253,2024-02-26 06:38:23,126.8537975,35.1606816
2.1,-2.6,91.3,10252,2024-02-26 06:38:23,126.8536761,35.1606909
2.1,-2.5,91.3,10252,2024-02-26 06:38:24,126.8536761,35.1606909
2.1,-2.6,91.3,10252,2024-02-26 06:38:25,126.853554,35.1607019
2.1,-2.6,91.3,10252,2024-02-26 06:38:25,126.853554,35.1607019
2.1,-2.7,91.3,10252,2024-02-26 06:38:26,126.8534315,35.1607151
2.0,-2.7,91.3,10252,2024-02-26 06:38:26,126.8534315,35.1607151
2.0,-2.7,91.3,10252,2024-02-26 06:38:27,126.8533096,35.1607287
2.1,-2.7,91.3,10252,2024-02-26 06:38:27,126.8533096,35.1607287
2.0,-2.6,91.3,10252,2024-02-26 06:38:28,126.8531884,35.1607417
2.0,-2.6,91.3,10252,2024-02-26 06:38:28,126.8531884,35.1607417
2.0,-2.6,91.3,10252,2024-02-26 06:38:29,126.8530645,35.1607489
2.0,-2.7,91.2,10252,2024-02-26 06:38:29,126.8530645,35.1607489
2.0,-2.6,91.2,10252,2024-02-26 06:38:30,126.8529489,35.1607527
2.0,-2.6,91.2,10252,2024-02-26 06:38:30,126.8529489,35.1607527
2.0,-2.5,91.2,10253,2024-02-26 06:38:31,126.8528222,35.1607557
2.0,-2.4,91.2,10253,2024-02-26 06:38:31,126.8528222,35.1607557
2.0,-2.3,91.2,10253,2024-02-26 06:38:32,126.852701,35.1607598
