기온,노면온도,습도,기압,시간,경도,위도
4.7,0.2,75.5,10224,2024-02-27 07:02:15,126.9169872,35.1348716
4.7,0.8,75.5,10225,2024-02-27 07:02:15,126.91708,35.134923
4.7,1.0,75.5,10225,2024-02-27 07:02:16,126.91708,35.134923
4.7,1.3,75.5,10225,2024-02-27 07:02:16,126.917159,35.1349742
4.7,1.3,75.5,10226,2024-02-27 07:02:17,126.917159,35.1349742
4.7,0.5,75.5,10226,2024-02-27 07:02:17,126.9172358,35.1350253
4.7,0.9,75.5,10227,2024-02-27 07:02:18,126.9172358,35.1350253
4.7,0.9,75.5,10227,2024-02-27 07:02:18,126.9173139,35.135066
4.6,1.1,75.5,10228,2024-02-27 07:02:19,126.9173139,35.135066
4.6,1.1,75.4,10228,2024-02-27 07:02:19,126.9173868,35.1350981
4.7,1.6,75.4,10229,2024-02-27 07:02:20,126.9173868,35.1350981
4.7,1.3,75.4,10229,2024-02-27 07:02:20,126.9174347,35.1351303
4.7,1.4,75.4,10229,2024-02-27 07:02:21,126.9174347,35.1351303
4.6,2.1,75.4,10230,2024-02-27 07:02:21,126.9174698,35.1351523
4.6,2.2,75.4,10230,2024-02-27 07:02:22,126.9174698,35.1351523
4.7,2.2,75.4,10230,2024-02-27 07:02:22,126.9174835,35.1351747
4.7,2.6,75.4,10230,2024-02-27 07:02:23,126.9174835,35.1351747
4.7,2.6,75.4,10230,2024-02-27 07:02:23,126.9174846,35.1351913
4.7,2.5,75.4,10231,2024-02-27 07:02:24,126.9174846,35.1351913
4.7,2.4,75.4,10231,2024-02-27 07:02:24,126.9174801,35.1351887
4.7,2.3,75.4,10231,2024-02-27 07:02:25,126.9174801,35.1351887
4.7,2.3,75.4,10231,2024-02-27 07:02:25,126.9174796,35.1351955
4.7,2.3,75.4,10231,2024-02-27 07:02:26,126.9174796,35.1351955
4.7,2.3,75.4,10231,2024-02-27 07:02:26,126.9174795,35.1351965
4.6,2.3,75.4,10231,2024-02-27 07:02:27,126.9174795,35.1351965
4.7,2.3,75.4,10231,2024-02-27 07:02:27,126.9174795,35.1351965
4.7,2.3,75.4,10231,2024-02-27 07:02:28,126.9174795,35.1351965
4.7,2.3,75.4,10231,2024-02-27 07:02:28,126.9174795,35.1351965
4.7,2.2,75.4,10231,2024-02-27 07:02:29,126.9174795,35.1351965
4.7,2.3,75.4,10231,2024-02-27 07:02:29,126.9174795,35.1351964
4.7,2.1,75.4,10231,2024-02-27 07:02:30,126.9174795,35.1351964
4.7,2.1,75.4,10231,2024-02-27 07:02:30,126.9174795,35.1351964
4.6,2.2,75.4,10231,2024-02-27 07:02:31,126.9174795,35.1351964
