기온,노면온도,습도,기압,시간,경도,위도
0.7,-2.8,94.2,10225,2024-02-26 06:17:56,126.8985953,35.2029058
0.6,-3.0,94.2,10225,2024-02-26 06:17:56,126.8985953,35.2029058
0.7,-2.9,94.2,10225,2024-02-26 06:17:57,126.8985972,35.202874
0.6,-3.1,94.2,10225,2024-02-26 06:17:57,126.8986063,35.2028367
0.6,-3.1,94.2,10224,2024-02-26 06:17:58,126.8986063,35.2028367
0.7,-3.3,94.2,10224,2024-02-26 06:17:58,126.8986239,35.2027963
0.7,-3.2,94.1,10224,2024-02-26 06:17:59,126.8986239,35.2027963
0.6,-3.5,94.1,10224,2024-02-26 06:17:59,126.8986453,35.2027469
0.6,-3.3,94.1,10224,2024-02-26 06:18:00,126.8986453,35.2027469
0.7,-3.2,94.1,10224,2024-02-26 06:18:00,126.8986679,35.2026914
0.7,-3.1,94.1,10223,2024-02-26 06:18:01,126.8986679,35.2026914
0.6,-3.1,94.1,10223,2024-02-26 06:18:01,126.8986913,35.202634
0.7,-3.0,94.1,10223,2024-02-26 06:18:02,126.8986913,35.202634
0.7,-3.3,94.1,10222,2024-02-26 06:18:02,126.8986913,35.202634
0.7,-3.2,94.1,10222,2024-02-26 06:18:03,126.8987199,35.2025709
0.7,-3.1,94.1,10222,2024-02-26 06:18:03,126.8987199,35.2025709
0.7,-3.1,94.1,10221,2024-02-26 06:18:04,126.8987391,35.2024975
0.6,-3.0,94.1,10221,2024-02-26 06:18:04,126.8987391,35.2024975
0.7,-2.9,94.1,10221,2024-02-26 06:18:05,126.8987681,35.2024218
0.7,-3.0,94.1,10221,2024-02-26 06:18:05,126.8987681,35.2024218
0.7,-3.0,94.1,10221,2024-02-26 06:18:06,126.8987972,35.2023415
0.7,-3.1,94.1,10220,2024-02-26 06:18:06,126.8987972,35.2023415
0.6,-3.1,94.1,10220,2024-02-26 06:18:07,126.8988247,35.2022609
0.7,-3.1,94.1,10220,2024-02-26 06:18:07,126.8988247,35.2022609
0.6,-3.1,94.1,10220,2024-02-26 06:18:08,126.8988559,35.2021801
0.7,-3.0,94.1,10220,2024-02-26 06:18:08,126.8988873,35.202097
0.6,-3.0,94.1,10219,2024-02-26 06:18:09,126.8988873,35.202097
0.7,-3.0,94.1,10219,2024-02-26 06:18:09,126.8989199,35.2020152
0.6,-2.8,94.1,10219,2024-02-26 06:18:10,126.8989199,35.2020152
0.7,-2.8,94.1,10219,2024-02-26 06:18:10,126.8989199,35.2020152
0.6,-2.7,94.1,10219,2024-02-26 06:18:11,126.89895,35.2019251
0.6,-3.0,94.1,10219,2024-02-26 06:18:11,126.8989822,35.2018382
0.6,-3.0,94.1,10219,2024-02-26 06:18:12,126.8989822,35.2018382
0.6,-2.9,94.1,10219,2024-02-26 06:18:12,126.8990134,35.2017442
0.6,-2.8,94.1,10219,2024-02-26 06:18:13,126.8990134,35.2017442
0.6,-2.9,94.1,10219,2024-02-26 06:18:13,126.8990441,35.2016508
0.6,-2.7,94.1,10219,2024-02-26 06:18:14,126.8990441,35.2016508
0.6,-2.8,94.1,10218,2024-02-26 06:18:14,126.8990797,35.2015521
0.6,-2.9,94.1,10218,2024-02-26 06:18:15,126.8990797,35.2015521
0.6,-2.8,94.1,10218,2024-02-26 06:18:15,126.8991187,35.2014657
0.6,-2.5,94.1,10218,2024-02-26 06:18:16,126.8991187,35.2014657
0.6,-2.5,94.1,10218,2024-02-26 06:18:16,126.8991534,35.2013699
0.6,-2.4,94.1,10218,2024-02-26 06:18:17,126.8991534,35.2013699
0.6,-2.5,94.1,10218,2024-02-26 06:18:17,126.8991874,35.201275
0.6,-2.7,94.1,10218,2024-02-26 06:18:18,126.8991874,35.201275
0.6,-2.8,94.1,10218,2024-02-26 06:18:18,126.899221,35.2011714
0.6,-2.9,94.1,10218,2024-02-26 06:18:19,126.899221,35.2011714
0.6,-2.7,94.1,10218,2024-02-26 06:18:19,126.8992572,35.2010699
0.6,-2.5,94.1,10218,2024-02-26 06:18:20,126.8992572,35.2010699
0.6,-2.3,94.1,10217,2024-02-26 06:18:20,126.8992922,35.2009666
0.6,-2.6,94.1,10217,2024-02-26 06:18:21,126.8992922,35.2009666
0.6,-2.7,94.1,10217,2024-02-26 06:18:21,126.899328,35.200863
0.6,-2.8,94.1,10217,2024-02-26 06:18:22,126.899328,35.200863
0.6,-2.8,94.1,10217,2024-02-26 06:18:22,126.8993688,35.2007637
0.6,-2.8,94.1,10217,2024-02-26 06:18:23,126.8993688,35.2007637
0.6,-2.9,94.1,10218,2024-02-26 06:18:23,126.8994056,35.2006582
0.6,-3.0,94.1,10217,2024-02-26 06:18:24,126.8994056,35.2006582
0.6,-2.9,94.1,10218,2024-02-26 06:18:24,126.8994403,35.2005514
0.6,-2.8,94.1,10218,2024-02-26 06:18:25,126.8994403,35.2005514
0.6,-2.8,94.1,10217,2024-02-26 06:18:25,126.8994748,35.2004487
0.6,-2.8,94.1,10217,2024-02-26 06:18:26,126.8994748,35.2004487
0.5,-3.1,94.1,10217,2024-02-26 06:18:26,126.8995115,35.2003413
0.5,-2.9,94.0,10217,2024-02-26 06:18:27,126.8995115,35.2003413
0.5,-2.7,94.0,10217,2024-02-26 06:18:27,126.8995505,35.2002341
0.5,-2.8,94.0,10217,2024-02-26 06:18:28,126.8995505,35.2002341
0.5,-2.8,94.0,10217,2024-02-26 06:18:28,126.8995931,35.2001219
0.5,-2.7,94.0,10217,2024-02-26 06:18:29,126.8995931,35.2001219
0.5,-2.8,94.0,10217,2024-02-26 06:18:29,126.8996325,35.2000086
0.5,-2.8,94.0,10217,2024-02-26 06:18:30,126.8996325,35.2000086
0.5,-2.8,94.0,10216,2024-02-26 06:18:30,126.8996718,35.1998941
0.5,-3.0,94.0,10216,2024-02-26 06:18:31,126.8996718,35.1998941
0.5,-2.9,94.0,10216,2024-02-26 06:18:31,126.8997051,35.1997756
0.5,-2.8,94.0,10216,2024-02-26 06:18:32,126.8997051,35.1997756
0.5,-3.0,94.0,10216,2024-02-26 06:18:32,126.8997356,35.1996536
0.5,-2.8,94.0,10216,2024-02-26 06:18:33,126.8997356,35.1996536
0.5,-2.8,94.0,10216,2024-02-26 06:18:33,126.8997641,35.1995296
0.5,-2.9,94.0,10216,2024-02-26 06:18:34,126.8997641,35.1995296
0.5,-2.4,94.0,10216,2024-02-26 06:18:34,126.8997769,35.1994067
0.5,-2.2,94.0,10216,2024-02-26 06:18:35,126.8997769,35.1994067
0.5,-2.8,94.0,10215,2024-02-26 06:18:35,126.8997862,35.1992816
0.5,-2.9,94.0,10216,2024-02-26 06:18:36,126.8997862,35.1992816
0.5,-3.0,94.0,10216,2024-02-26 06:18:36,126.8997887,35.199156
0.5,-3.4,94.0,10216,2024-02-26 06:18:37,126.8997887,35.199156
0.4,-3.7,94.0,10216,2024-02-26 06:18:37,126.8997942,35.1990305
0.4,-3.6,94.0,10216,2024-02-26 06:18:38,126.8997942,35.1990305
0.4,-3.7,94.0,10216,2024-02-26 06:18:38,126.8997957,35.1989071
0.4,-3.7,94.0,10216,2024-02-26 06:18:39,126.8997957,35.1989071
0.4,-3.6,94.0,10216,2024-02-26 06:18:39,126.8998003,35.1987822
0.4,-3.6,94.0,10216,2024-02-26 06:18:40,126.8998003,35.1987822
0.4,-3.6,94.0,10216,2024-02-26 06:18:40,126.8998002,35.1986596
0.4,-3.6,93.9,10216,2024-02-26 06:18:41,126.8998002,35.1986596
0.4,-3.6,93.9,10216,2024-02-26 06:18:41,126.8997966,35.1985308
0.4,-3.6,93.9,10216,2024-02-26 06:18:42,126.8997966,35.1985308
0.4,-3.6,93.9,10216,2024-02-26 06:18:42,126.8997935,35.1983997
0.4,-3.6,93.9,10216,2024-02-26 06:18:43,126.8997935,35.1983997
0.4,-3.7,93.9,10216,2024-02-26 06:18:43,126.8997988,35.1982686
0.3,-3.7,93.9,10216,2024-02-26 06:18:44,126.8997988,35.1982686
0.3,-3.6,93.9,10216,2024-02-26 06:18:44,126.899804,35.1981381
0.3,-3.4,93.9,10216,2024-02-26 06:18:45,126.899804,35.1981381
0.3,-3.5,93.9,10216,2024-02-26 06:18:45,126.8998056,35.1980024
0.3,-3.4,93.9,10216,2024-02-26 06:18:46,126.8998056,35.1980024
0.3,-3.4,93.9,10216,2024-02-26 06:18:46,126.8998096,35.1978683
0.3,-3.5,93.9,10216,2024-02-26 06:18:47,126.8998096,35.1978683
0.3,-3.4,93.9,10216,2024-02-26 06:18:47,126.8998136,35.197733
0.3,-3.2,93.9,10216,2024-02-26 06:18:48,126.8998136,35.197733
0.2,-3.1,93.9,10216,2024-02-26 06:18:48,126.8998173,35.1975967
0.2,-3.1,93.9,10217,2024-02-26 06:18:49,126.8998173,35.1975967
0.3,-3.2,93.9,10217,2024-02-26 06:18:49,126.8998209,35.19746
0.2,-3.0,93.9,10217,2024-02-26 06:18:50,126.8998209,35.19746
0.2,-3.1,93.9,10217,2024-02-26 06:18:50,126.8998237,35.1973222
0.3,-3.0,93.8,10216,2024-02-26 06:18:51,126.8998237,35.1973222
0.2,-3.0,93.8,10216,2024-02-26 06:18:51,126.8998267,35.1971864
0.2,-2.9,93.8,10216,2024-02-26 06:18:52,126.8998267,35.1971864
0.2,-2.9,93.8,10216,2024-02-26 06:18:52,126.8998273,35.1970505
0.2,-3.1,93.8,10216,2024-02-26 06:18:53,126.8998273,35.1970505
0.2,-3.1,93.8,10216,2024-02-26 06:18:53,126.8998278,35.1969168
0.2,-3.0,93.8,10217,2024-02-26 06:18:54,126.8998278,35.1969168
0.2,-3.0,93.8,10217,2024-02-26 06:18:54,126.8998306,35.196783
0.2,-3.0,93.8,10217,2024-02-26 06:18:55,126.8998306,35.196783
0.2,-3.2,93.8,10217,2024-02-26 06:18:55,126.899832,35.196652
0.2,-3.1,93.8,10218,2024-02-26 06:18:56,126.899832,35.196652
0.3,-2.9,93.8,10218,2024-02-26 06:18:57,126.8998343,35.196526
0.2,-2.9,93.8,10218,2024-02-26 06:18:57,126.8998343,35.196526
0.3,-2.8,93.8,10218,2024-02-26 06:18:57,126.8998388,35.1963997
0.3,-2.8,93.8,10219,2024-02-26 06:18:58,126.8998388,35.1963997
0.3,-2.8,93.8,10219,2024-02-26 06:18:58,126.8998424,35.1962745
0.3,-2.9,93.8,10219,2024-02-26 06:18:59,126.8998424,35.1962745
0.2,-3.0,93.8,10219,2024-02-26 06:18:59,126.8998467,35.1961465
0.3,-3.0,93.8,10219,2024-02-26 06:19:00,126.8998467,35.1961465
0.3,-3.0,93.8,10219,2024-02-26 06:19:00,126.8998506,35.1960177
0.3,-3.0,93.8,10219,2024-02-26 06:19:01,126.8998506,35.1960177
0.3,-3.1,93.8,10219,2024-02-26 06:19:01,126.8998475,35.1958877
0.3,-3.2,93.8,10219,2024-02-26 06:19:02,126.8998475,35.1958877
0.3,-3.0,93.8,10219,2024-02-26 06:19:02,126.8998393,35.1957572
0.3,-3.1,93.8,10219,2024-02-26 06:19:03,126.8998393,35.1957572
0.3,-3.1,93.8,10219,2024-02-26 06:19:03,126.8998244,35.1956343
0.3,-3.1,93.8,10219,2024-02-26 06:19:04,126.8998244,35.1956343
0.3,-3.0,93.8,10219,2024-02-26 06:19:04,126.8998094,35.1955031
0.3,-3.0,93.8,10218,2024-02-26 06:19:05,126.8998094,35.1955031
0.3,-2.8,93.8,10218,2024-02-26 06:19:05,126.8997961,35.1953723
0.3,-2.7,93.8,10218,2024-02-26 06:19:06,126.8997961,35.1953723
0.3,-2.6,93.8,10218,2024-02-26 06:19:06,126.8997824,35.195243
0.3,-2.6,93.8,10218,2024-02-26 06:19:07,126.8997824,35.195243
0.3,-2.6,93.8,10219,2024-02-26 06:19:07,126.8997678,35.1951135
0.3,-2.6,93.8,10219,2024-02-26 06:19:08,126.8997678,35.1951135
0.4,-2.4,93.8,10219,2024-02-26 06:19:08,126.8997518,35.1949847
0.4,-2.5,93.8,10219,2024-02-26 06:19:09,126.8997518,35.1949847
0.4,-2.5,93.8,10219,2024-02-26 06:19:09,126.8997329,35.194857
0.4,-2.6,93.8,10220,2024-02-26 06:19:10,126.8997329,35.194857
0.4,-2.7,93.8,10220,2024-02-26 06:19:10,126.8997151,35.1947317
0.4,-2.6,93.8,10220,2024-02-26 06:19:11,126.8997151,35.1947317
0.4,-2.4,93.8,10220,2024-02-26 06:19:11,126.8996931,35.1946098
0.4,-2.3,93.8,10220,2024-02-26 06:19:12,126.8996931,35.1946098
0.4,-2.4,93.8,10220,2024-02-26 06:19:12,126.8996607,35.1944904
0.4,-2.3,93.8,10220,2024-02-26 06:19:13,126.8996607,35.1944904
0.4,-2.4,93.8,10221,2024-02-26 06:19:13,126.8996177,35.1943768
0.4,-2.3,93.8,10221,2024-02-26 06:19:14,126.8996177,35.1943768
0.4,-2.3,93.8,10221,2024-02-26 06:19:14,126.8995629,35.1942701
0.4,-2.4,93.8,10221,2024-02-26 06:19:15,126.8995629,35.1942701
0.4,-2.6,93.8,10221,2024-02-26 06:19:15,126.899501,35.1941639
0.4,-2.6,93.8,10221,2024-02-26 06:19:16,126.899501,35.1941639
0.4,-2.5,93.8,10221,2024-02-26 06:19:16,126.8994321,35.1940682
0.4,-2.6,93.8,10222,2024-02-26 06:19:17,126.8994321,35.1940682
0.4,-2.5,93.8,10222,2024-02-26 06:19:17,126.8993555,35.1939748
0.4,-2.6,93.8,10222,2024-02-26 06:19:18,126.8993555,35.1939748
0.5,-2.7,93.8,10222,2024-02-26 06:19:18,126.8992717,35.1938873
0.4,-2.6,93.8,10222,2024-02-26 06:19:19,126.8992717,35.1938873
0.4,-2.7,93.8,10223,2024-02-26 06:19:19,126.8991873,35.1938048
0.4,-2.7,93.8,10223,2024-02-26 06:19:20,126.8991873,35.1938048
0.4,-2.7,93.8,10224,2024-02-26 06:19:20,126.8990976,35.1937303
0.5,-2.7,93.8,10224,2024-02-26 06:19:21,126.8990976,35.1937303
0.4,-2.6,93.8,10224,2024-02-26 06:19:21,126.8990102,35.1936545
0.4,-2.8,93.8,10224,2024-02-26 06:19:22,126.8990102,35.1936545
0.5,-2.7,93.8,10225,2024-02-26 06:19:22,126.8989296,35.1935899
0.5,-2.8,93.8,10225,2024-02-26 06:19:23,126.8989296,35.1935899
0.5,-2.8,93.8,10226,2024-02-26 06:19:23,126.8988563,35.193521
0.4,-2.7,93.8,10226,2024-02-26 06:19:24,126.8988563,35.193521
0.4,-2.9,93.8,10227,2024-02-26 06:19:24,126.8987968,35.1934492
0.4,-2.9,93.8,10227,2024-02-26 06:19:25,126.8987968,35.1934492
0.4,-2.9,93.8,10227,2024-02-26 06:19:25,126.8987413,35.1933779
0.4,-2.9,93.8,10228,2024-02-26 06:19:26,126.8987413,35.1933779
0.4,-2.7,93.8,10228,2024-02-26 06:19:26,126.8986986,35.1933071
0.4,-2.7,93.8,10229,2024-02-26 06:19:27,126.8986986,35.1933071
0.4,-2.8,93.8,10229,2024-02-26 06:19:27,126.8986645,35.1932362
0.4,-2.8,93.8,10229,2024-02-26 06:19:28,126.8986645,35.1932362
0.4,-2.8,93.8,10230,2024-02-26 06:19:28,126.8986319,35.1931676
0.4,-2.5,93.9,10230,2024-02-26 06:19:29,126.8986319,35.1931676
0.4,-2.0,93.9,10230,2024-02-26 06:19:29,126.8986058,35.1931087
0.5,-1.9,93.9,10230,2024-02-26 06:19:30,126.8986058,35.1931087
0.4,-2.6,93.9,10230,2024-02-26 06:19:30,126.8985826,35.1930392
0.5,-2.9,93.9,10230,2024-02-26 06:19:31,126.8985826,35.1930392
0.4,-3.0,93.9,10230,2024-02-26 06:19:31,126.8985609,35.1929652
0.5,-3.0,93.9,10230,2024-02-26 06:19:32,126.8985609,35.1929652
0.5,-2.9,93.9,10230,2024-02-26 06:19:33,126.898543,35.1928834
0.5,-2.7,93.9,10230,2024-02-26 06:19:33,126.898543,35.1928834
0.5,-2.8,93.9,10229,2024-02-26 06:19:34,126.8985314,35.1928031
0.5,-2.8,93.9,10229,2024-02-26 06:19:34,126.8985314,35.1928031
0.5,-2.9,93.9,10228,2024-02-26 06:19:35,126.8985289,35.1927232
0.5,-2.9,93.9,10228,2024-02-26 06:19:35,126.8985289,35.1927232
0.5,-2.7,93.9,10228,2024-02-26 06:19:36,126.8985344,35.1926426
0.5,-2.9,93.9,10228,2024-02-26 06:19:36,126.8985344,35.1926426
