기온,노면온도,습도,기압,시간,경도,위도
3.4,-0.2,78.5,10235,2024-02-27 6:09:56,126.8983096,35.2034824
3.4,-0.2,78.5,10235,2024-02-27 6:09:57,126.8983096,35.2034824
3.4,0,78.5,10235,2024-02-27 6:09:57,126.8983337,35.203421
3.4,0,78.5,10235,2024-02-27 6:09:58,126.8983337,35.203421
3.4,0.2,78.4,10235,2024-02-27 6:09:58,126.8983551,35.2033597
3.4,0.1,78.4,10235,2024-02-27 6:09:59,126.8983551,35.2033597
3.4,0,78.4,10235,2024-02-27 6:09:59,126.8983785,35.203303
3.4,0,78.4,10235,2024-02-27 6:10:00,126.8983785,35.203303
3.4,0,78.4,10236,2024-02-27 6:10:00,126.898403,35.2032526
3.4,-0.1,78.4,10236,2024-02-27 6:10:01,126.898403,35.2032526
3.4,-0.4,78.4,10236,2024-02-27 6:10:01,126.8984224,35.2032075
3.4,-0.2,78.4,10236,2024-02-27 6:10:02,126.8984224,35.2032075
3.4,-0.2,78.4,10236,2024-02-27 6:10:02,126.8984425,35.2031574
3.3,0,78.4,10236,2024-02-27 6:10:03,126.8984425,35.2031574
3.3,-0.1,78.4,10236,2024-02-27 6:10:03,126.8984649,35.2031098
3.4,0,78.4,10236,2024-02-27 6:10:04,126.8984649,35.2031098
3.4,-0.1,78.4,10236,2024-02-27 6:10:04,126.8984835,35.2030647
3.4,-0.1,78.4,10236,2024-02-27 6:10:05,126.8984835,35.2030647
3.3,-0.1,78.4,10236,2024-02-27 6:10:05,126.8985029,35.2030245
3.3,-0.2,78.4,10237,2024-02-27 6:10:06,126.8985029,35.2030245
3.3,0,78.3,10237,2024-02-27 6:10:06,126.8985225,35.2029859
3.4,-0.1,78.3,10237,2024-02-27 6:10:07,126.8985225,35.2029859
3.3,-0.1,78.3,10237,2024-02-27 6:10:07,126.8985382,35.202953
3.3,0.2,78.3,10238,2024-02-27 6:10:08,126.8985382,35.202953
3.3,0.4,78.3,10238,2024-02-27 6:10:08,126.8985453,35.2029291
3.3,0.4,78.3,10238,2024-02-27 6:10:09,126.8985453,35.2029291
3.3,0.3,78.3,10238,2024-02-27 6:10:09,126.8985484,35.2029099
3.3,0.3,78.3,10238,2024-02-27 6:10:10,126.8985484,35.2029099
3.3,0.2,78.2,10239,2024-02-27 6:10:10,126.8985523,35.2028986
3.3,0.1,78.2,10239,2024-02-27 6:10:11,126.8985523,35.2028986
3.3,0.1,78.2,10239,2024-02-27 6:10:11,126.8985562,35.2028874
3.3,0.1,78.2,10239,2024-02-27 6:10:12,126.8985562,35.2028874
3.3,0.1,78.2,10239,2024-02-27 6:10:12,126.8985532,35.2028782
3.3,0.3,78.2,10239,2024-02-27 6:10:13,126.8985532,35.2028782
3.3,0.3,78.2,10239,2024-02-27 6:10:13,126.8985527,35.2028784
3.3,0.3,78.2,10239,2024-02-27 6:10:14,126.8985527,35.2028784
3.3,0.3,78.2,10239,2024-02-27 6:10:14,126.8985558,35.2028784
3.4,0.3,78.2,10239,2024-02-27 6:10:15,126.8985558,35.2028784
3.4,0.3,78.2,10239,2024-02-27 6:10:15,126.8985565,35.2028785
3.3,0.3,78.2,10239,2024-02-27 6:10:16,126.8985565,35.2028785
3.4,0.3,78.2,10239,2024-02-27 6:10:16,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:17,126.8985566,35.2028786
3.4,0.2,78.2,10239,2024-02-27 6:10:17,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:18,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:18,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:19,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:19,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:20,126.8985566,35.2028786
3.4,0.2,78.2,10239,2024-02-27 6:10:20,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:21,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:21,126.8985566,35.2028786
3.4,0.3,78.2,10239,2024-02-27 6:10:22,126.8985566,35.2028786
3.4,0.3,78.1,10239,2024-02-27 6:10:22,126.8985566,35.2028786
3.4,0.4,78.1,10239,2024-02-27 6:10:23,126.8985566,35.2028786
3.4,0.4,78.1,10239,2024-02-27 6:10:23,126.8985566,35.2028786
3.4,0.5,78.1,10239,2024-02-27 6:10:24,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:24,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:25,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:25,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:26,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:26,126.8985566,35.2028786
3.5,0.4,78.2,10239,2024-02-27 6:10:27,126.8985566,35.2028786
3.4,0.4,78.2,10239,2024-02-27 6:10:27,126.8985566,35.2028786
3.5,0.3,78.2,10239,2024-02-27 6:10:28,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:28,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:29,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:29,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:30,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:30,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:31,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:31,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:32,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:32,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:33,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:33,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:34,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:34,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:35,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:35,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:36,126.8985566,35.2028786
3.5,0.4,78.1,10239,2024-02-27 6:10:36,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:37,126.8985566,35.2028786
3.5,0.3,78.1,10239,2024-02-27 6:10:37,126.8985566,35.2028786
3.5,0.5,78.1,10239,2024-02-27 6:10:38,126.8985566,35.2028786
3.5,0.5,78.1,10239,2024-02-27 6:10:38,126.8985566,35.2028786
3.6,0.5,78.1,10239,2024-02-27 6:10:39,126.8985566,35.2028786
3.5,0.5,78.1,10239,2024-02-27 6:10:39,126.8985566,35.2028786
3.5,0.5,78.1,10239,2024-02-27 6:10:40,126.8985566,35.2028786
3.5,0.5,78.1,10239,2024-02-27 6:10:40,126.8985566,35.2028786
3.6,0.4,78.1,10239,2024-02-27 6:10:41,126.8985566,35.2028786
3.6,0.5,78.1,10239,2024-02-27 6:10:41,126.8985566,35.2028786
3.6,0.6,78.1,10239,2024-02-27 6:10:42,126.8985566,35.2028786
3.6,0.5,78.2,10239,2024-02-27 6:10:42,126.8985566,35.2028786
3.6,0.5,78.2,10239,2024-02-27 6:10:43,126.8985566,35.2028786
3.6,0.6,78.2,10239,2024-02-27 6:10:43,126.8985566,35.2028786
3.6,0.5,78.2,10239,2024-02-27 6:10:44,126.8985566,35.2028786
