구분,차수,온도
구간전체,1차,-3.4
구간전체,1차,-3.4
구간전체,1차,-3.7
구간전체,1차,-4.0
구간전체,1차,-3.2
구간전체,1차,-3.2
구간전체,1차,-3.3
구간전체,1차,-3.3
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-4.0
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-3.8
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.2
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.2
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.2
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.2
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.3
구간전체,1차,-4.3
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.5
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.2
구간전체,1차,-4.2
구간전체,1차,-4.2
구간전체,1차,-4.4
구간전체,1차,-4.1
구간전체,1차,-4.1
구간전체,1차,-3.9
구간전체,1차,-3.7
구간전체,1차,-3.5
구간전체,1차,-3.6
구간전체,1차,-3.7
구간전체,1차,-3.7
구간전체,1차,-3.8
구간전체,1차,-4.1
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-4.0
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.7
구간전체,1차,-3.7
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.1
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.7
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-4.1
구간전체,1차,-4.1
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-3.9
구간전체,1차,-3.7
구간전체,1차,-3.6
구간전체,1차,-3.3
구간전체,1차,-3.3
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-3.5
구간전체,1차,-3.5
구간전체,1차,-3.8
구간전체,1차,-3.6
구간전체,1차,-3.4
구간전체,1차,-3.2
구간전체,1차,-3.2
구간전체,1차,-3.2
구간전체,1차,-3.3
구간전체,1차,-2.9
구간전체,1차,-3.0
구간전체,1차,-3.3
구간전체,1차,-3.1
구간전체,1차,-3.1
구간전체,1차,-3.1
구간전체,1차,-3.0
구간전체,1차,-3.2
구간전체,1차,-3.3
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-3.6
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-4.1
구간전체,1차,-3.6
구간전체,1차,-3.1
구간전체,1차,-3.1
구간전체,1차,-3.1
구간전체,1차,-2.8
구간전체,1차,-2.8
구간전체,1차,-3.1
구간전체,1차,-3.0
구간전체,1차,-3.0
구간전체,1차,-3.1
구간전체,1차,-3.3
구간전체,1차,-3.1
구간전체,1차,-3.2
구간전체,1차,-3.3
구간전체,1차,-3.5
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.7
구간전체,1차,-4.0
구간전체,1차,-4.0
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.7
구간전체,1차,-3.7
구간전체,1차,-3.6
구간전체,1차,-3.7
구간전체,1차,-3.6
구간전체,1차,-3.7
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-4.0
구간전체,1차,-3.7
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-4.0
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.7
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.9
구간전체,1차,-3.8
구간전체,1차,-3.8
구간전체,1차,-3.6
구간전체,1차,-3.7
구간전체,1차,-3.6
구간전체,1차,-3.6
구간전체,1차,-3.5
구간전체,1차,-3.6
구간전체,1차,-3.6
구간전체,1차,-3.6
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-3.2
구간전체,1차,-3.3
구간전체,1차,-3.4
구간전체,1차,-3.4
구간전체,1차,-3.5
구간전체,1차,-3.5
구간전체,1차,-3.4
구간전체,1차,-3.4
구간전체,1차,-3.4
구간전체,1차,-3.3
구간전체,1차,-3.5
구간전체,1차,-3.4
구간전체,1차,-3.5
