차수,행정구역,종류,이름,변화량
1차,보성군,육상교각,초당교차로,3.2
1차,보성군,육상교각,예당교차로,4.1
1차,보성군,육상교각,귀산교차로,4.2
1차,보성군,수상교각,옥전교,4.2
1차,보성군,육상교각,벌교IC 교차로,2
1차,보성군,육상교각,장양육교,2.1
1차,순천시,육상교각,구룡교,2.6
1차,순천시,육상교각,쌍림1교,2.8
1차,순천시,수상교각,쌍림2교,1.4
1차,순천시,육상교각,연향육교,2.1
1차,순천시,육상교각,조례사거리,3.3
1차,광양시,수상교각,세풍대교,2
1차,광양시,육상교각,초남1교,2.4
1차,광양시,터널,초남터널,2.8
1차,광양시,육상교각,황금교,2.2
1차,광양시,터널,황금터널,3.1
1차,광양시,터널,황길터널,3.5
1차,광양시,터널,성황터널,6.5
1차,광양시,수상교각,성황본교,1.2
1차,광양시,육상교각,정산천1교,3.3
1차,광양시,터널,중군터널,7.6
1차,광양시,육상교각,신금1교,1.4
1차,광양시,육상교각,신금2교,1.9
1차,광양시,수상교각,수어천교,1.3
1차,광양시,수상교각,마룡교,1.9
2차,보성군,육상교각,초당교차로,3.5
2차,보성군,수상교각,옥전교,1.2
2차,보성군,육상교각,장양육교,1.6
2차,순천시,육상교각,구룡교,1.5
2차,순천시,육상교각,쌍림1교,2.2
2차,순천시,수상교각,쌍림2교,1.5
2차,순천시,수상교각,연동교,1.8
2차,순천시,육상교각,연향육교,2.4
2차,광양시,수상교각,세풍대교,1.6
2차,광양시,육상교각,초남1교,1.5
2차,광양시,터널,초남터널,4.9
2차,광양시,육상교각,황금교,1
2차,광양시,터널,황금터널,6.8
2차,광양시,터널,황길터널,8.4
2차,광양시,터널,성황터널,8.3
2차,광양시,수상교각,성황본교,1.2
2차,광양시,육상교각,정산천1교,7
2차,광양시,터널,중군터널,10.4
2차,광양시,육상교각,신금1교,1.6
2차,광양시,육상교각,신금2교,1.5
2차,광양시,수상교각,수어천교,1.7
2차,광양시,수상교각,마룡교,1.9
3차,보성군,육상교각,초당교차로,3.8
3차,보성군,육상교각,예당교차로,4.1
3차,보성군,수상교각,조성교,3.8
3차,보성군,육상교각,귀산교차로,3.4
3차,보성군,수상교각,옥전교,3.7
3차,보성군,육상교각,벌교IC 교차로,2.2
3차,보성군,육상교각,장양육교,5
3차,순천시,육상교각,쌍림1교,2
3차,순천시,수상교각,쌍림2교,1
3차,순천시,육상교각,순천만IC 교차로,4
3차,순천시,수상교각,연동교,1.4
3차,순천시,육상교각,연향육교,2.2
3차,순천시,육상교각,조례사거리,2.3
3차,광양시,수상교각,세풍대교,2.3
3차,광양시,육상교각,초남1교,1.6
3차,광양시,터널,초남터널,1.4
3차,광양시,육상교각,황금교,2.1
3차,광양시,터널,황금터널,2.3
3차,광양시,터널,황길터널,4.6
3차,광양시,터널,성황터널,5.7
3차,광양시,수상교각,성황본교,3
3차,광양시,육상교각,정산천1교,2.9
3차,광양시,터널,중군터널,10.2
3차,광양시,육상교각,신금1교,2.6
3차,광양시,육상교각,신금2교,2.6
3차,광양시,수상교각,수어천교,1.8
3차,광양시,수상교각,마룡교,2.5
4차,보성군,육상교각,초당교차로,3.4
4차,보성군,수상교각,조성교,1.8
4차,보성군,수상교각,옥전교,2.2
4차,보성군,수상교각,원동교,1.7
4차,보성군,육상교각,무안육교,2.3
4차,보성군,육상교각,장좌육교,2.6
4차,보성군,수상교각,벌교대교,2
4차,보성군,육상교각,장양육교,3
4차,보성군,육상교각,동막1교,2.3
4차,보성군,육상교각,동막2교,1.6
4차,순천시,육상교각,구룡교,1.8
4차,순천시,육상교각,쌍림1교,3
4차,순천시,수상교각,쌍림2교,1.6
4차,순천시,육상교각,순천만IC 교차로,3.3
4차,순천시,수상교각,연동교,1.9
4차,순천시,육상교각,연향육교,3.2
4차,순천시,육상교각,조례사거리,2.5
4차,순천시,육상교각,세승교,2.6
4차,광양시,수상교각,세풍대교,2.6
4차,광양시,육상교각,초남1교,2.7
4차,광양시,터널,초남터널,3.5
4차,광양시,육상교각,황금교,2.1
4차,광양시,터널,황금터널,5.5
4차,광양시,터널,황길터널,7.4
4차,광양시,터널,성황터널,9.4
4차,광양시,수상교각,성황본교,1.4
4차,광양시,육상교각,정산천1교,2.6
4차,광양시,터널,중군터널,11.7
4차,광양시,육상교각,신금1교,3.3
4차,광양시,육상교각,신금2교,2.7
4차,광양시,수상교각,수어천교,2.9
4차,광양시,수상교각,마룡교,3.1
