기온,노면온도,습도,alti_,시간,경도,위도
-1.2,-6.9,71.2,10002,2024-01-11 08:11:23,127.1181983,34.7743866
-1.1,-6.8,71.2,10002,2024-01-11 08:11:23,127.1179801,34.7744039
-1.1,-7.0,71.3,10001,2024-01-11 08:11:22,127.1184209,34.7743714
-1.1,-6.8,71.3,10001,2024-01-11 08:11:22,127.1184209,34.7743714
-1.1,-6.9,71.3,10001,2024-01-11 08:11:21,127.1186467,34.7743544
-1.1,-6.9,71.3,10001,2024-01-11 08:11:21,127.1186467,34.7743544
-1.1,-6.8,71.3,10000,2024-01-11 08:11:20,127.1188733,34.7743361
-1.1,-6.7,71.3,10001,2024-01-11 08:11:20,127.1188733,34.7743361
-1.0,-6.9,71.3,9999,2024-01-11 08:11:19,127.1190963,34.7743192
-1.1,-7.0,71.3,9999,2024-01-11 08:11:19,127.1190963,34.7743192
-1.0,-7.1,71.3,9998,2024-01-11 08:11:18,127.1193153,34.774302
-1.0,-6.9,71.3,9998,2024-01-11 08:11:18,127.1193153,34.774302
-1.0,-6.9,71.3,9998,2024-01-11 08:11:17,127.1195318,34.7742856
-1.0,-7.4,71.3,9998,2024-01-11 08:11:17,127.1195318,34.7742856
-1.0,-7.1,71.4,9999,2024-01-11 08:11:16,127.1197477,34.7742687
-1.0,-7.1,71.4,9998,2024-01-11 08:11:16,127.1197477,34.7742687
-1.0,-7.0,71.4,10000,2024-01-11 08:11:15,127.1199614,34.774253
-1.0,-7.1,71.4,10000,2024-01-11 08:11:15,127.1199614,34.774253
-0.9,-6.9,71.3,10001,2024-01-11 08:11:14,127.1201778,34.7742403
-1.0,-7.0,71.3,10000,2024-01-11 08:11:14,127.1201778,34.7742403
-0.9,-6.9,71.3,10001,2024-01-11 08:11:13,127.1203931,34.7742245
-0.9,-6.8,71.3,10001,2024-01-11 08:11:13,127.1203931,34.7742245
-0.9,-7.0,71.3,10001,2024-01-11 08:11:12,127.1206007,34.7742095
-0.9,-7.0,71.3,10001,2024-01-11 08:11:12,127.1203931,34.7742245
-0.9,-7.2,71.3,10001,2024-01-11 08:11:11,127.1208074,34.7741956
-0.9,-7.0,71.3,10001,2024-01-11 08:11:11,127.1208074,34.7741956
-0.9,-7.0,71.4,10001,2024-01-11 08:11:10,127.1210143,34.7741795
-0.9,-6.9,71.4,10001,2024-01-11 08:11:10,127.1210143,34.7741795
-0.9,-6.9,71.4,10001,2024-01-11 08:11:09,127.1212189,34.7741675
-0.9,-6.9,71.4,10001,2024-01-11 08:11:09,127.1212189,34.7741675
-0.8,-7.1,71.4,10002,2024-01-11 08:11:08,127.1214194,34.7741556
-0.9,-7.0,71.4,10002,2024-01-11 08:11:08,127.1214194,34.7741556
-0.8,-7.4,71.4,10003,2024-01-11 08:11:07,127.1216173,34.7741496
-0.8,-7.2,71.4,10003,2024-01-11 08:11:07,127.1216173,34.7741496
-0.8,-7.2,71.4,10004,2024-01-11 08:11:06,127.1218134,34.7741426
-0.9,-7.4,71.4,10004,2024-01-11 08:11:06,127.1218134,34.7741426
-0.8,-5.9,71.4,10006,2024-01-11 08:11:05,127.1220083,34.7741372
-0.8,-6.7,71.4,10004,2024-01-11 08:11:05,127.1220083,34.7741372
-0.8,-3.9,71.4,10008,2024-01-11 08:11:04,127.122198,34.774136
-0.8,-4.6,71.4,10007,2024-01-11 08:11:04,127.122198,34.774136
-0.8,-4.5,71.4,10011,2024-01-11 08:11:03,127.1223916,34.7741329
-0.8,-3.8,71.4,10009,2024-01-11 08:11:03,127.1223916,34.7741329
-0.8,-6.7,71.3,10012,2024-01-11 08:11:02,127.1225913,34.7741253
-0.8,-6.1,71.3,10012,2024-01-11 08:11:02,127.1225913,34.7741253
-0.8,-7.1,71.3,10014,2024-01-11 08:11:01,127.1227895,34.7741175
-0.8,-6.9,71.3,10013,2024-01-11 08:11:01,127.1227895,34.7741175
-0.8,-6.9,71.3,10015,2024-01-11 08:11:00,127.1229914,34.7741111
-0.8,-6.8,71.3,10014,2024-01-11 08:11:00,127.1229914,34.7741111
-0.7,-7.0,71.3,10016,2024-01-11 08:10:59,127.1231904,34.7741027
-0.8,-6.9,71.3,10016,2024-01-11 08:10:59,127.1231904,34.7741027
-0.7,-7.0,71.3,10017,2024-01-11 08:10:58,127.1233911,34.7740959
-0.7,-7.0,71.3,10017,2024-01-11 08:10:58,127.1233911,34.7740959
-0.7,-7.2,71.3,10019,2024-01-11 08:10:57,127.1235908,34.7740878
-0.7,-7.2,71.3,10018,2024-01-11 08:10:57,127.1235908,34.7740878
-0.7,-7.1,71.2,10021,2024-01-11 08:10:56,127.1237884,34.7740831
-0.7,-7.2,71.2,10020,2024-01-11 08:10:56,127.1237884,34.7740831
-0.6,-7.1,71.2,10023,2024-01-11 08:10:55,127.1239855,34.774082
-0.6,-7.0,71.2,10023,2024-01-11 08:10:55,127.1239855,34.774082
-0.6,-7.3,71.2,10025,2024-01-11 08:10:54,127.1241813,34.7740843
-0.6,-7.1,71.2,10024,2024-01-11 08:10:54,127.1241813,34.7740843
-0.6,-7.2,71.2,10026,2024-01-11 08:10:53,127.1243749,34.7740907
-0.6,-7.3,71.2,10026,2024-01-11 08:10:53,127.1243749,34.7740907
-0.6,-7.1,71.2,10028,2024-01-11 08:10:52,127.1245708,34.774101
-0.6,-7.3,71.2,10027,2024-01-11 08:10:52,127.1245708,34.774101
-0.5,-6.8,71.2,10029,2024-01-11 08:10:51,127.1247675,34.7741173
-0.6,-7.0,71.2,10029,2024-01-11 08:10:51,127.1247675,34.7741173
-0.5,-6.6,71.1,10031,2024-01-11 08:10:50,127.1249642,34.7741383
-0.5,-6.6,71.1,10030,2024-01-11 08:10:50,127.1249642,34.7741383
-0.5,-6.4,71.1,10032,2024-01-11 08:10:49,127.1251682,34.7741645
-0.5,-6.8,71.1,10031,2024-01-11 08:10:49,127.1251682,34.7741645
-0.5,-6.4,71.1,10033,2024-01-11 08:10:48,127.1253656,34.7741977
-0.5,-6.5,71.1,10032,2024-01-11 08:10:48,127.1253656,34.7741977
-0.5,-6.6,71.1,10033,2024-01-11 08:10:47,127.1255598,34.7742436
-0.5,-6.5,71.1,10033,2024-01-11 08:10:47,127.1255598,34.7742436
-0.5,-6.3,71.0,10034,2024-01-11 08:10:46,127.125757,34.7742924
-0.5,-6.5,71.0,10033,2024-01-11 08:10:46,127.125757,34.7742924
-0.5,-6.3,71.0,10035,2024-01-11 08:10:45,127.125954,34.7743479
-0.5,-6.3,71.0,10034,2024-01-11 08:10:45,127.125954,34.7743479
-0.5,-6.4,71.0,10036,2024-01-11 08:10:44,127.1261505,34.7744122
-0.5,-6.5,71.0,10035,2024-01-11 08:10:44,127.1261505,34.7744122
-0.5,-6.2,71.0,10036,2024-01-11 08:10:43,127.1263428,34.7744833
-0.5,-6.4,71.0,10036,2024-01-11 08:10:43,127.1263428,34.7744833
-0.5,-6.0,71.1,10038,2024-01-11 08:10:42,127.1265341,34.774561
-0.5,-6.1,71.1,10036,2024-01-11 08:10:42,127.1265341,34.774561
-0.5,-6.0,71.1,10039,2024-01-11 08:10:41,127.1267243,34.7746435
-0.5,-6.0,71.1,10038,2024-01-11 08:10:41,127.1267243,34.7746435
-0.5,-5.7,71.0,10039,2024-01-11 08:10:40,127.1269121,34.7747334
-0.5,-5.9,71.0,10039,2024-01-11 08:10:40,127.1269121,34.7747334
-0.5,-5.9,71.0,10042,2024-01-11 08:10:39,127.1270944,34.7748297
-0.5,-5.8,71.0,10041,2024-01-11 08:10:39,127.1270944,34.7748297
-0.5,-5.9,71.0,10044,2024-01-11 08:10:38,127.1272692,34.7749347
-0.5,-5.8,71.0,10043,2024-01-11 08:10:38,127.1272692,34.7749347
-0.5,-5.9,71.0,10044,2024-01-11 08:10:37,127.1274418,34.7750451
-0.5,-5.9,71.0,10044,2024-01-11 08:10:37,127.1274418,34.7750451
-0.5,-6.0,71.0,10046,2024-01-11 08:10:36,127.1276081,34.7751627
-0.5,-6.0,71.0,10045,2024-01-11 08:10:36,127.1276081,34.7751627
-0.5,-6.3,71.0,10048,2024-01-11 08:10:35,127.1277696,34.7752844
-0.5,-6.2,71.0,10047,2024-01-11 08:10:35,127.1277696,34.7752844
-0.5,-6.1,70.9,10048,2024-01-11 08:10:34,127.1279266,34.775404
-0.5,-6.2,70.9,10048,2024-01-11 08:10:34,127.1279266,34.775404
-0.5,-6.2,70.9,10049,2024-01-11 08:10:33,127.1280747,34.7755261
-0.5,-6.1,70.9,10048,2024-01-11 08:10:33,127.1280747,34.7755261
-0.5,-6.0,71.0,10051,2024-01-11 08:10:32,127.1282241,34.7756531
-0.5,-6.1,71.0,10050,2024-01-11 08:10:32,127.1282241,34.7756531
-0.5,-6.1,71.0,10053,2024-01-11 08:10:31,127.1283676,34.77578
-0.5,-6.1,71.0,10052,2024-01-11 08:10:31,127.1283676,34.77578
-0.5,-6.4,71.0,10054,2024-01-11 08:10:30,127.1285042,34.7759059
-0.5,-6.4,71.0,10053,2024-01-11 08:10:30,127.1285042,34.7759059
-0.5,-6.4,71.0,10055,2024-01-11 08:10:29,127.1286415,34.7760311
-0.5,-6.3,71.0,10055,2024-01-11 08:10:29,127.1286415,34.7760311
-0.5,-6.2,70.9,10058,2024-01-11 08:10:28,127.1287764,34.776162
-0.5,-6.2,70.9,10056,2024-01-11 08:10:28,127.1287764,34.776162
-0.5,-6.4,70.9,10061,2024-01-11 08:10:27,127.1289096,34.7762939
-0.5,-6.3,70.9,10059,2024-01-11 08:10:27,127.1289096,34.7762939
-0.5,-6.3,70.9,10063,2024-01-11 08:10:26,127.129049,34.7764249
-0.5,-6.3,70.9,10062,2024-01-11 08:10:26,127.129049,34.7764249
-0.5,-6.2,70.9,10065,2024-01-11 08:10:25,127.1291858,34.776556
-0.5,-6.4,70.9,10064,2024-01-11 08:10:25,127.1291858,34.776556
-0.5,-6.4,70.9,10066,2024-01-11 08:10:24,127.129322,34.7766883
-0.5,-6.1,70.9,10066,2024-01-11 08:10:24,127.129322,34.7766883
-0.5,-6.3,70.9,10068,2024-01-11 08:10:23,127.1294591,34.7768228
-0.5,-6.3,70.9,10067,2024-01-11 08:10:23,127.1294591,34.7768228
-0.5,-6.4,70.8,10069,2024-01-11 08:10:22,127.1295899,34.7769514
-0.5,-6.4,70.8,10069,2024-01-11 08:10:22,127.1295899,34.7769514
-0.5,-6.0,70.8,10071,2024-01-11 08:10:21,127.1297258,34.7770844
-0.5,-6.0,70.8,10070,2024-01-11 08:10:21,127.1297258,34.7770844
-0.5,-5.9,70.8,10072,2024-01-11 08:10:20,127.1298664,34.7772168
