기온,노면온도,humi_,alti_,시간,경도,위도
-7.1,-8.2,66.1,10276,2024-01-25 05:56:48,127.7434159,34.9887868
-7.1,-8.3,66.1,10276,2024-01-25 05:56:49,127.7434159,34.9887868
-7.1,-8.2,66.2,10275,2024-01-25 05:56:49,127.7433449,34.9887449
-7.1,-8.2,66.2,10275,2024-01-25 05:56:50,127.7433449,34.9887449
-7.2,-8.3,66.2,10275,2024-01-25 05:56:50,127.7432694,34.9887002
-7.1,-8.2,66.2,10275,2024-01-25 05:56:51,127.7432694,34.9887002
-7.1,-8.3,66.3,10274,2024-01-25 05:56:51,127.7431928,34.9886528
-7.1,-8.5,66.3,10274,2024-01-25 05:56:52,127.7431928,34.9886528
-7.1,-8.5,66.3,10274,2024-01-25 05:56:52,127.74311,34.9886017
-7.1,-8.5,66.3,10273,2024-01-25 05:56:53,127.74311,34.9886017
-7.2,-8.5,66.4,10273,2024-01-25 05:56:53,127.7430261,34.9885477
-7.2,-8.7,66.4,10273,2024-01-25 05:56:54,127.7430261,34.9885477
-7.1,-8.7,66.4,10273,2024-01-25 05:56:54,127.7429444,34.9884933
-7.1,-8.6,66.4,10273,2024-01-25 05:56:55,127.7429444,34.9884933
-7.1,-8.7,66.4,10273,2024-01-25 05:56:55,127.7428684,34.9884407
-7.1,-8.7,66.4,10273,2024-01-25 05:56:56,127.7428684,34.9884407
-7.2,-8.7,66.4,10273,2024-01-25 05:56:56,127.7427978,34.9883913
-7.2,-8.8,66.4,10273,2024-01-25 05:56:57,127.7427978,34.9883913
-7.2,-8.8,66.4,10273,2024-01-25 05:56:57,127.742729,34.9883442
-7.2,-8.8,66.4,10273,2024-01-25 05:56:58,127.742729,34.9883442
-7.2,-8.8,66.4,10273,2024-01-25 05:56:58,127.7426628,34.988297
-7.2,-8.6,66.4,10273,2024-01-25 05:56:59,127.7426628,34.988297
-7.2,-8.9,66.4,10273,2024-01-25 05:56:59,127.7426007,34.988252
-7.2,-8.8,66.4,10273,2024-01-25 05:57:00,127.7426007,34.988252
-7.2,-8.7,66.4,10273,2024-01-25 05:57:00,127.7425409,34.9882093
-7.2,-8.7,66.4,10273,2024-01-25 05:57:01,127.7425409,34.9882093
-7.2,-8.8,66.4,10273,2024-01-25 05:57:01,127.7424842,34.9881676
-7.2,-9.1,66.4,10273,2024-01-25 05:57:02,127.7424842,34.9881676
-7.2,-8.9,66.4,10273,2024-01-25 05:57:02,127.7424293,34.988126
-7.2,-9.1,66.4,10273,2024-01-25 05:57:03,127.7424293,34.988126
-7.2,-8.9,66.5,10273,2024-01-25 05:57:03,127.7423742,34.9880852
-7.2,-8.7,66.5,10273,2024-01-25 05:57:04,127.7423742,34.9880852
-7.2,-8.5,66.5,10273,2024-01-25 05:57:04,127.7423161,34.9880427
-7.2,-8.5,66.5,10273,2024-01-25 05:57:05,127.7423161,34.9880427
-7.2,-8.9,66.5,10272,2024-01-25 05:57:05,127.7422513,34.9879984
-7.2,-8.9,66.5,10272,2024-01-25 05:57:06,127.7422513,34.9879984
-7.2,-8.6,66.5,10272,2024-01-25 05:57:06,127.7421829,34.9879538
-7.2,-8.7,66.5,10272,2024-01-25 05:57:07,127.7421829,34.9879538
-7.2,-8.6,66.6,10271,2024-01-25 05:57:07,127.7421114,34.9879101
-7.2,-8.7,66.6,10271,2024-01-25 05:57:08,127.7421114,34.9879101
-7.2,-8.9,66.6,10271,2024-01-25 05:57:08,127.7420422,34.9878655
-7.2,-8.9,66.6,10270,2024-01-25 05:57:09,127.7420422,34.9878655
-7.2,-9.6,66.6,10270,2024-01-25 05:57:09,127.7419719,34.9878169
-7.2,-9.7,66.6,10270,2024-01-25 05:57:10,127.7419719,34.9878169
-7.2,-9.8,66.6,10269,2024-01-25 05:57:10,127.7418954,34.9877691
-7.2,-10.0,66.6,10269,2024-01-25 05:57:11,127.7418954,34.9877691
-7.2,-10.0,66.6,10269,2024-01-25 05:57:11,127.7418159,34.987719
-7.2,-9.7,66.6,10268,2024-01-25 05:57:12,127.7418159,34.987719
-7.2,-9.3,66.6,10268,2024-01-25 05:57:12,127.741731,34.9876656
-7.2,-9.1,66.6,10267,2024-01-25 05:57:13,127.741731,34.9876656
-7.2,-9.5,66.6,10267,2024-01-25 05:57:13,127.7416399,34.9876102
-7.2,-9.5,66.6,10267,2024-01-25 05:57:14,127.7416399,34.9876102
-7.2,-9.3,66.6,10267,2024-01-25 05:57:14,127.7415449,34.9875562
-7.2,-10.4,66.6,10266,2024-01-25 05:57:15,127.7415449,34.9875562
-7.2,-12.0,66.7,10266,2024-01-25 05:57:15,127.7414469,34.9875021
-7.2,-12.1,66.7,10266,2024-01-25 05:57:16,127.7414469,34.9875021
-7.2,-12.0,66.7,10266,2024-01-25 05:57:16,127.7413465,34.9874496
-7.2,-12.0,66.7,10265,2024-01-25 05:57:17,127.7413465,34.9874496
-7.2,-12.0,66.7,10265,2024-01-25 05:57:17,127.7412472,34.9873959
-7.2,-11.9,66.7,10265,2024-01-25 05:57:18,127.7412472,34.9873959
-7.2,-11.9,66.7,10265,2024-01-25 05:57:18,127.7411478,34.987343
-7.2,-11.9,66.7,10265,2024-01-25 05:57:19,127.7411478,34.987343
-7.2,-11.9,66.7,10265,2024-01-25 05:57:19,127.7410474,34.9872881
-7.2,-11.9,66.7,10264,2024-01-25 05:57:20,127.7410474,34.9872881
-7.2,-11.9,66.7,10264,2024-01-25 05:57:20,127.7409451,34.9872338
-7.2,-12.0,66.7,10264,2024-01-25 05:57:21,127.7409451,34.9872338
-7.2,-11.6,66.8,10264,2024-01-25 05:57:21,127.7408398,34.9871785
-7.2,-12.0,66.8,10264,2024-01-25 05:57:22,127.7408398,34.9871785
-7.2,-12.1,66.8,10264,2024-01-25 05:57:22,127.7407328,34.9871229
-7.2,-12.1,66.8,10263,2024-01-25 05:57:23,127.7407328,34.9871229
-7.2,-12.0,66.8,10263,2024-01-25 05:57:23,127.7406244,34.9870672
-7.2,-12.0,66.8,10263,2024-01-25 05:57:24,127.7406244,34.9870672
-7.2,-12.0,66.8,10263,2024-01-25 05:57:24,127.7405118,34.9870093
-7.2,-12.0,66.8,10263,2024-01-25 05:57:25,127.7405118,34.9870093
-7.2,-12.1,66.8,10263,2024-01-25 05:57:25,127.740399,34.9869532
-7.2,-11.9,66.8,10263,2024-01-25 05:57:26,127.740399,34.9869532
-7.2,-12.1,66.8,10262,2024-01-25 05:57:26,127.7402828,34.9868982
-7.2,-12.0,66.8,10262,2024-01-25 05:57:27,127.7402828,34.9868982
-7.2,-12.0,66.9,10262,2024-01-25 05:57:27,127.740165,34.9868431
-7.2,-12.0,66.9,10262,2024-01-25 05:57:28,127.740165,34.9868431
-7.2,-12.1,66.9,10262,2024-01-25 05:57:28,127.7400457,34.9867879
-7.2,-12.0,66.9,10261,2024-01-25 05:57:29,127.7400457,34.9867879
-7.2,-11.9,66.9,10261,2024-01-25 05:57:29,127.7399253,34.9867312
-7.3,-11.7,66.9,10261,2024-01-25 05:57:30,127.7399253,34.9867312
-7.2,-12.0,66.9,10261,2024-01-25 05:57:30,127.7398019,34.9866744
-7.2,-12.1,66.9,10261,2024-01-25 05:57:31,127.7398019,34.9866744
-7.2,-12.0,67.0,10260,2024-01-25 05:57:31,127.7396795,34.9866173
-7.2,-12.0,67.0,10260,2024-01-25 05:57:32,127.7396795,34.9866173
-7.2,-11.8,67.0,10260,2024-01-25 05:57:32,127.7395529,34.9865596
-7.2,-10.1,67.0,10260,2024-01-25 05:57:33,127.7395529,34.9865596
-7.2,-9.4,67.0,10260,2024-01-25 05:57:33,127.7394275,34.9865029
-7.2,-9.2,67.0,10259,2024-01-25 05:57:34,127.7394275,34.9865029
-7.2,-9.3,67.0,10259,2024-01-25 05:57:34,127.7392977,34.9864458
-7.2,-9.1,67.0,10259,2024-01-25 05:57:35,127.7392977,34.9864458
-7.2,-8.9,67.0,10258,2024-01-25 05:57:35,127.7391652,34.986388
-7.2,-8.8,67.0,10258,2024-01-25 05:57:36,127.7391652,34.986388
-7.2,-9.1,67.0,10258,2024-01-25 05:57:36,127.7390291,34.9863307
-7.2,-9.5,67.0,10258,2024-01-25 05:57:37,127.7390291,34.9863307
-7.2,-9.4,67.0,10257,2024-01-25 05:57:37,127.7388932,34.9862741
-7.2,-9.3,67.0,10257,2024-01-25 05:57:38,127.7388932,34.9862741
-7.2,-9.4,67.0,10257,2024-01-25 05:57:38,127.7387536,34.9862137
-7.2,-9.5,67.0,10256,2024-01-25 05:57:39,127.7387536,34.9862137
-7.2,-9.5,67.1,10256,2024-01-25 05:57:39,127.7386107,34.9861485
-7.2,-9.6,67.1,10256,2024-01-25 05:57:40,127.7386107,34.9861485
-7.2,-9.6,67.1,10256,2024-01-25 05:57:40,127.7384717,34.9860849
-7.3,-9.5,67.1,10255,2024-01-25 05:57:41,127.7384717,34.9860849
-7.2,-9.4,67.1,10255,2024-01-25 05:57:41,127.7383292,34.9860189
-7.3,-9.4,67.1,10254,2024-01-25 05:57:42,127.7383292,34.9860189
-7.3,-9.4,67.1,10254,2024-01-25 05:57:42,127.7381856,34.9859516
-7.3,-9.5,67.1,10254,2024-01-25 05:57:43,127.7381856,34.9859516
-7.2,-9.2,67.1,10253,2024-01-25 05:57:43,127.7380388,34.9858873
-7.3,-9.1,67.1,10253,2024-01-25 05:57:44,127.7380388,34.9858873
-7.3,-9.3,67.1,10253,2024-01-25 05:57:44,127.7378868,34.9858212
-7.3,-9.4,67.1,10253,2024-01-25 05:57:45,127.7378868,34.9858212
-7.3,-9.3,67.0,10252,2024-01-25 05:57:45,127.7377363,34.9857544
-7.3,-9.5,67.0,10252,2024-01-25 05:57:46,127.7377363,34.9857544
-7.3,-9.2,67.0,10251,2024-01-25 05:57:46,127.737587,34.9856851
-7.3,-9.3,67.0,10251,2024-01-25 05:57:47,127.737587,34.9856851
-7.3,-9.4,67.2,10251,2024-01-25 05:57:47,127.7374386,34.9856153
-7.3,-9.3,67.2,10251,2024-01-25 05:57:48,127.7374386,34.9856153
-7.3,-9.4,67.2,10250,2024-01-25 05:57:48,127.737282,34.9855433
-7.3,-9.2,67.2,10250,2024-01-25 05:57:49,127.737282,34.9855433
-7.3,-8.9,67.2,10250,2024-01-25 05:57:49,127.7371267,34.9854728
-7.3,-9.3,67.2,10250,2024-01-25 05:57:50,127.7371267,34.9854728
-7.3,-9.3,67.2,10250,2024-01-25 05:57:50,127.7369711,34.9854051
-7.3,-9.3,67.2,10249,2024-01-25 05:57:51,127.7369711,34.9854051
-7.3,-9.3,67.2,10249,2024-01-25 05:57:51,127.736812,34.9853371
-7.3,-9.2,67.2,10249,2024-01-25 05:57:52,127.736812,34.9853371
-7.3,-9.0,67.2,10249,2024-01-25 05:57:52,127.7366546,34.9852636
-7.3,-8.8,67.2,10249,2024-01-25 05:57:53,127.7366546,34.9852636
-7.3,-8.9,67.2,10249,2024-01-25 05:57:53,127.7364952,34.9851891
-7.3,-9.1,67.2,10249,2024-01-25 05:57:54,127.7364952,34.9851891
-7.3,-9.1,67.2,10249,2024-01-25 05:57:54,127.7363348,34.9851159
-7.3,-9.0,67.2,10249,2024-01-25 05:57:55,127.7363348,34.9851159
-7.3,-9.2,67.2,10248,2024-01-25 05:57:55,127.7361746,34.9850437
-7.3,-9.1,67.2,10248,2024-01-25 05:57:56,127.7361746,34.9850437
-7.3,-9.2,67.2,10248,2024-01-25 05:57:56,127.7360157,34.9849719
-7.3,-9.1,67.2,10248,2024-01-25 05:57:57,127.7360157,34.9849719
-7.3,-9.2,67.2,10249,2024-01-25 05:57:57,127.7358528,34.9849011
-7.4,-9.2,67.2,10249,2024-01-25 05:57:58,127.7358528,34.9849011
-7.3,-8.2,67.2,10248,2024-01-25 05:57:58,127.7356909,34.9848347
-7.4,-5.7,67.2,10247,2024-01-25 05:57:59,127.7356909,34.9848347
-7.4,-4.9,67.2,10246,2024-01-25 05:57:59,127.7355267,34.9847707
-7.4,-5.1,67.2,10246,2024-01-25 05:58:00,127.7355267,34.9847707
-7.4,-7.2,67.2,10245,2024-01-25 05:58:00,127.7353591,34.984705
-7.4,-8.7,67.2,10246,2024-01-25 05:58:01,127.7353591,34.984705
-7.4,-9.4,67.2,10246,2024-01-25 05:58:01,127.7351891,34.9846382
-7.4,-9.6,67.2,10246,2024-01-25 05:58:02,127.7351891,34.9846382
