기온,노면온도,습도,기압,시간,경도,위도
-0.5,-3.7,79.7,1030.4,2024-01-29 07:16:44,126.8307114,35.1403195
-0.5,-3.8,79.7,1030.3,2024-01-29 07:16:43,126.8306184,35.1403525
-0.5,-3.8,79.7,1030.3,2024-01-29 07:16:43,126.8306184,35.1403525
-0.5,-3.5,79.7,1030.2,2024-01-29 07:16:42,126.8305336,35.1403824
-0.5,-3.6,79.7,1030.2,2024-01-29 07:16:42,126.8305336,35.1403824
-0.5,-2.2,79.7,1030.2,2024-01-29 07:16:41,126.8303392,35.1404378
-0.5,-3.0,79.7,1030.2,2024-01-29 07:16:41,126.8304467,35.1404088
-0.5,-3.5,79.7,1030.2,2024-01-29 07:16:41,126.8304467,35.1404088
-0.5,-2.5,79.7,1030.2,2024-01-29 07:16:40,126.8303392,35.1404378
-0.5,-3.4,79.7,1030.1,2024-01-29 07:16:39,126.8300895,35.1405118
-0.5,-3.3,79.7,1030.1,2024-01-29 07:16:39,126.8302194,35.140473
-0.5,-3.0,79.7,1030.2,2024-01-29 07:16:39,126.8302194,35.140473
-0.5,-4.1,79.7,1030.0,2024-01-29 07:16:37,126.8299553,35.1405561
-0.5,-4.1,79.7,1030.1,2024-01-29 07:16:37,126.8299553,35.1405561
-0.5,-4.1,79.7,1030.0,2024-01-29 07:16:36,126.8298184,35.1406021
-0.5,-4.1,79.7,1030.0,2024-01-29 07:16:36,126.8298184,35.1406021
-0.5,-4.0,79.7,1029.9,2024-01-29 07:16:35,126.8296832,35.1406461
-0.5,-4.1,79.7,1029.9,2024-01-29 07:16:35,126.8296832,35.1406461
-0.5,-4.2,79.7,1029.9,2024-01-29 07:16:34,126.829546,35.1406878
-0.5,-4.2,79.7,1029.9,2024-01-29 07:16:34,126.829546,35.1406878
-0.5,-4.0,79.7,1029.9,2024-01-29 07:16:33,126.829409,35.1407287
-0.5,-4.1,79.7,1029.9,2024-01-29 07:16:33,126.829409,35.1407287
-0.5,-4.1,79.7,1029.9,2024-01-29 07:16:32,126.8292789,35.1407633
-0.5,-4.0,79.7,1029.9,2024-01-29 07:16:32,126.8292789,35.1407633
-0.5,-4.0,79.7,1029.9,2024-01-29 07:16:31,126.8291451,35.1407998
